names,places,links,imgs,desc,address,address_link
三丁包子,扬州,https://you.ctrip.com/fooditem/yangzhou12/7755822-p1.html,https://dimg04.c-ctrip.com/images/tg/587/536/858/59892e7a23104d89b047405954940cb3_R_220_140.jpg,三丁包子是扬州的名点之一，采用鸡丁、肉丁、笋丁制成。包子皮吸收了馅料的卤汁后，口感松软鲜美，咸中带甜，甜中有脆，颇受... ,富春茶社,https://you.ctrip.com/food/yangzhou12/4925847.html
文思豆腐,扬州,https://you.ctrip.com/fooditem/yangzhou12/7891263-p1.html,https://dimg04.c-ctrip.com/images/tg/277/341/320/ce1bf4cd24e0493cb0e08ef6902e398d_R_220_140.jpg,文思豆腐据说曾得乾隆皇帝的钟爱，一度成为清宫名菜。其对刀工要求极为严苛，把豆腐切成细如发丝的丝状，轻盈又洁白，口感软... ,冶春茶社(御马头店),https://you.ctrip.com/food/yangzhou12/4925850.html
清炒虾仁,扬州,https://you.ctrip.com/fooditem/yangzhou12/7755829-p1.html,https://dimg04.c-ctrip.com/images/tg/789/680/184/95d93e59903e4278b094d71c2908fe32_R_220_140.jpg,清炒虾仁是江苏地区的名菜之一，以独特口味而深受食客青睐。传统的清炒虾仁是搭配葱白粒、山药丁、火腿丁，其他配料一概全无... ,冶春茶社(御马头店),https://you.ctrip.com/food/yangzhou12/4925850.html
扬州盐水鹅,扬州,https://you.ctrip.com/fooditem/yangzhou12/16302629-p1.html,https://dimg04.c-ctrip.com/images/100s1e000001frgzf6ABA.gif,扬州盐水鹅当地人俗称“老鹅”，其历史悠久，为淮阳菜中不可缺少的名菜。盐水鹅外形饱满，色黄油亮，肉质松嫩、肥而不腻。 ,,
虾籽馄饨,扬州,https://you.ctrip.com/fooditem/yangzhou12/18346743-p1.html,https://dimg04.c-ctrip.com/images/10051e000001fn3jvECDA.gif,虾籽馄饨是当地的特色小吃。精选上好的猪肉作为内馅，加入葱姜沫、调料、秘制酱油等，点睛之笔是加入适量虾籽，使其内馅丰富... ,,
荠菜汤圆,扬州,https://you.ctrip.com/fooditem/yangzhou12/18112416-p1.html,https://dimg04.c-ctrip.com/images/100t1e000001fkn4c13FD.gif,荠菜汤圆也是汤圆的一种。以荠菜为主馅料，加入肉、葱、姜、香菇等碎剁与调料一起拌匀，之后用糯米粉团包成汤圆即可。下热水... ,,
蟹黄汤包,扬州,https://you.ctrip.com/fooditem/yangzhou12/7810406-p1.html,https://dimg04.c-ctrip.com/images/100p0h0000008v4be611B_R_220_140.jpg,蟹黄汤包为江苏传统名小吃。其选材精良制作考究，将蟹黄与蟹肉作为内馅，汤头为费时熬制的鸡汤。汤包的外形秀美、皮薄如纸，... ,,
赤豆元宵,扬州,https://you.ctrip.com/fooditem/yangzhou12/7887626-p1.html,https://dimg04.c-ctrip.com/images/tg/279/783/522/bad0729d2f04494584497ddafb21b419_R_220_140.jpg,赤豆元宵是扬州的一大特色。红如玛瑙的赤豆，白似莹雪的元宵，醇香甘甜的酒酿在玫瑰色的藕粉汤中轻轻舞动，从舌尖到舌根，从... ,,
淮阳炒软兜,扬州,https://you.ctrip.com/fooditem/yangzhou12/25278472-p1.html,https://dimg04.c-ctrip.com/images/0103t120009oqkzkqA7ED_R_220_140.png,炒软兜是一道淮扬名菜，主料用的是黄鳝，取其脊肉的部分来烹制，鳝肉十分醇嫩，鲜美可口别具一格，能满足天南地北不同人的口... ,,
松鼠鳜鱼,扬州,https://you.ctrip.com/fooditem/yangzhou12/16463328-p1.html,https://dimg04.c-ctrip.com/images/0105f120009oqm9u9C728_R_220_140.png,松鼠鳜鱼是淮扬菜中的代表，用鲤鱼出骨，在鱼肉上刻花纹，加调味稍稍腌制后，拖上蛋黄糊，入热油锅嫩炸成熟后，浇上熬好的糖... ,,
