names,places,links,imgs,desc,address,address_link
芒果糯米饭,清迈,https://you.ctrip.com/fooditem/chiangmai209/7756658-p1.html,https://dimg04.c-ctrip.com/images/tg/451/991/043/078413c03a3e4ba78f470f16b7614a13_R_220_140.jpg,芒果糯米饭作为泰国一道经典的国民美食，在清迈上至高端餐厅下至路边小摊都随处可见。芒果糯米饭的主要材料为芒果、糯米与椰... ,La mango,https://you.ctrip.com/food/chiangmai209/11654479.html
泰式菠萝炒饭,清迈,https://you.ctrip.com/fooditem/chiangmai209/59193-p1.html,https://dimg04.c-ctrip.com/images/tg/614/066/452/6c7e1542dafd4dea84990b95ff623084_R_220_140.jpg,泰式菠萝炒饭是泰国的经典菜式，也是清迈人气火爆的热门美食。将泰国香米搭配菠萝和什锦蔬菜等大火快炒，炒饭具有菠萝酸甜的... ,Mr. Kai Restaurant,https://you.ctrip.com/food/chiangmai209/8677496.html
泰式炒河粉,清迈,https://you.ctrip.com/fooditem/chiangmai209/59197-p1.html,https://dimg04.c-ctrip.com/images/tg/361/062/432/35b12c7f30ec4a698ab49414593dc15f_R_220_140.jpg,泰式炒河粉可称为泰国菜里的招牌菜，是清迈街头巷尾常见的一种美食。将河粉搭配甜酱翻炒后在旁边摆上碎花生、辣椒粉、花生粉... ,Prego Restaurant River Front Chiang Mai,https://you.ctrip.com/food/chiangmai209/454824.html
青木瓜色拉,清迈,https://you.ctrip.com/fooditem/chiangmai209/7909593-p1.html,https://dimg04.c-ctrip.com/images/tg/151/516/643/2eb138de1251477e9625dedbc11067eb_R_220_140.jpg,青木瓜色拉是清迈当地人非常喜爱的开胃菜。青木瓜口感鲜脆，配上花生颗粒的酥香和生菜的清爽，菜品酸甜可口，让人胃口大开。... ,Hong Tauw Inn,https://you.ctrip.com/food/chiangmai209/454446.html
炸猪皮,清迈,https://you.ctrip.com/fooditem/chiangmai209/7913971-p1.html,https://dimg04.c-ctrip.com/images/tg/434/072/650/a33113c372dd4b698fc474c60465c9dd_R_220_140.jpg,清迈必吃的美食炸猪皮是一道当地的知名特产，高温的热油将猪皮炸的金黄酥脆，配上青辣椒酱一起食用去油解腻，口感酸辣。猪皮... ,,
海南鸡饭,清迈,https://you.ctrip.com/fooditem/chiangmai209/7755904-p1.html,https://dimg04.c-ctrip.com/images/tg/601/896/952/8b35ac8fa8aa4dbdb81549485a918f36_R_220_140.jpg,海南鸡饭是泰国街头美食代表之一，也是清迈当地必吃美食，鸡肉滑嫩可口，米饭又香又糯，再搭配特制的酱料，吃起来不油不腻，... ,,
燕窝,清迈,https://you.ctrip.com/fooditem/chiangmai209/15476769-p1.html,https://dimg04.c-ctrip.com/images/01071120009nzhemq2087_R_220_140.png,燕窝是清迈不可错过的街头美食之一，先把燕窝精炖，再用冰糖慢慢去熬，炖到入口爽滑，丝丝分明，还可以加入特制的蜂蜜糖水、... ,,
咖喱蟹,清迈,https://you.ctrip.com/fooditem/chiangmai209/24663439-p1.html,https://dimg04.c-ctrip.com/images/0101q12000a2cd8y73A6E_R_220_140.jpg,咖喱蟹是泰国特色海鲜美食，新鲜海蟹的肉质饱满鲜嫩，带有丝丝清甜之感，在炒制的过程中加入浓郁的咖喱汁，洁白鲜嫩的蟹肉被... ,,
泰式奶茶,清迈,https://you.ctrip.com/fooditem/chiangmai209/7790596-p1.html,https://dimg04.c-ctrip.com/images/0106h12000a2a0jtxB5D5_R_220_140.jpg,泰式奶茶是泰国具有代表性的国民茶饮，每一口都能喝到浓醇红茶与乳香交织的甜蜜，茶叶香气浓郁，入口后甜中带苦，味道恰到好... ,,
柠檬鱼,清迈,https://you.ctrip.com/fooditem/chiangmai209/24657737-p1.html,https://dimg04.c-ctrip.com/images/100h1c000001c635o076A_R_220_140.png,柠檬鱼是泰国一道经典美食，多选用上等海生鲈鱼，配上柠檬、辣椒、香菜、鱼露，上炉大火快蒸，出锅后鲜香味美，酸鲜可口，泰... ,,
