names,places,addresses,times,teles,titles,descs
闽江,福州,福州市马尾区闽江(江滨东大道南400米),,,介绍->开放时间,闽江流经福州的50多公里造就了许多景观，主要有金山寺、金刚腿、五虎门以及闻名于世的马尾港。福州这一段的闽江共有6座大桥，从东至西分别是鳌峰洲大桥、闽江大桥、解放大桥、三县洲大桥、金山大桥、洪山大桥，其中解放大桥和三县洲大桥的景观比较好。->全年 全天开放；具体营业状态以当天开放情况为准
鼓岭旅游度假区,福州,福州市晋安区宦溪镇鼓岭宜夏村鼓宦公路与192县道交叉口北150米,,0591-83669008,介绍->开放时间,"鼓岭景区是福州鼓山风景区的重要组成部分之一。位于福州市东郊的双鼓横断山脉，面积约24平方公里，平均海拔750米至800米。


由于其相对海拔较高，从近代至今都是福州夏天的避暑场所。1949年前，中国社会“民不聊生”，处在贫穷苦难之中，只有不少外国人为避暑，曾在鼓岭筑起由小方型石块为建筑材料的房子——“避暑山庄”。每逢炎夏他们便乘坐由一前一后两人抬的竹轿椅，沿着古石道登上3000余米路程来鼓岭避暑。


主要景点有公益社、鼓岭邮局、柳杉王、熊猫山庄等。->全年 全天开放；具体营业状态以当天开放情况为准"
北部玻璃栈道,福州,福州市平潭县丰田村丰沃线,,,介绍->开放时间,平潭北部玻璃栈道是一条位于福建省平潭岛北部的玻璃栈道，是一条悬于海面之上的景观步道，人们在此可以欣赏到美丽的海景。该栈道长约1.5公里，是中国较长的海上玻璃栈道之一。->全年 全天开放；具体营业状态以当天开放情况为准
金山寺,福州,福州市仓山区西三环路,今日08:00开放,0591-83741675,介绍->开放时间,"七八百年前，人们在这小阜上建起一座七层八级的实心塔，高约7米，花岗石砌成,后来又在塔周围建成宫殿。现在的金山寺系1934年重建的，因限于地形，寺院没有巍峨的殿阁和巨大的佛像，但精巧的建筑倒映在水中，分外别致。入夜渔火点点，繁星闪目，玉塔亭亭，别有一番情趣。
现在，这里仍可寻见古时的金山寺八景：“洪塘古渡”、“石仓秋烟”、“妙高钟声”、“半洲渔火”、“云程石塔”、“巴山风帆”、“环峰夜月”、“旗麓斜阳”。如果在金山寺凭栏远眺，可见碧波荡漾，风帆浮动。福州较长的公路大桥——洪塘大桥就从金山寺不远处跨江而过。->全年 8:00-17:00,；具体营业状态以当天开放情况为准"
左海公园,福州,福州市鼓楼区铜盘路29号,今日08:30开放,0591-87329060,介绍->开放时间->优待政策,"左海公园是福州市区面积大的公园。位于鼓楼区西北侧，东邻西湖、南靠象山、西接光铜路、北连铜盘路，面积51.11公顷，其中水面占18.14公顷。总体设计以“五洲风光”为主题。北大门设在铜盘路。内辟广场，正中有象征世界五大洲的雕塑，另建有长365米、宽9.3米、高6.5米的中国长城模型、西游记艺术宫。此外还有体现日本庭院建筑特点的日本园等。这里的主要娱乐游览点有高空飞车、激流探险、海底世界、孔雀园。海底世界内有全省大的中华鲟标本。->全年 08:30-17:00,；节假日正常开放；信息仅供参考，具体开放时间以景区当天披露为准->儿童：身高1.0米（含）以下，免费； 1.0米（不含）～1.3米（含），优惠票
老人：70岁（含）以上老人凭有效证件，优惠票
军人：现役军人凭有效证件，优惠票
残疾人：凭有效证件，优惠票
补充说明：以上信息仅供参考，具体信息请以左海海底世界景区当天披露为准。"
左海海底世界,福州,福州市鼓楼区铜盘路29号（左海公园内）,今日08:00开放（20:00停止售票，20:00停止入园）,0591-87850178,介绍->开放时间->优待政策->服务设施,"福州左海海底世界坐落于风景秀丽的福州左海公园内，由福建龙川集团于1995年投资创办，展馆面积3000多平方米，展示三百多个品 种近5000尾（只）海洋动物。是一座融观赏、游乐、科普为一体的大型海洋动物展馆，先后获得全国、省、市科普教育基地称号，是市民游乐休闲的好去处，也是广大中、小学生学习海洋科普知识的较佳场所。
左海海底世界由热带雨林馆、海底隧道、海洋鱼馆、北极熊馆、海洋剧场、梦幻水母馆、科普电教 馆、生物标本馆、贝壳馆等十大展馆组成，在奇妙的海底世界里，热带雨林馆清新幽雅、海底隧道梦幻、海洋鱼馆五彩缤纷。在这里可以欣赏——北极熊、凶猛的大鲨鱼、温顺的“千年老寿星”海龟、可爱的小丑鱼尼莫、梦幻的水母，还有扬子鳄等国家一二级稀有保护动物。
在海底世界，您可以与数千种海洋动物亲切对话，看人鲨共舞惊心动魄、梦幻美人鱼婀娜多姿、海狮海豹表演幽默 风趣，同时您还可以乘坐福州的高空摩天轮，享受登高望远的浪漫，坐旋转飞椅，体验空中飞翔，寻宝、探秘尽在左海海底世界！->2023年4月1日-2023年10月31日 08:00-21:00,（20:00停止售票，20:00停止入园）；2023年11月1日-次年2023年3月31日 08:00-18:30,（17:30停止售票，17:30停止入园）->儿童：身高110cm（含）以下，免费；110cm（不含）-130cm（含），优惠票
老人：70岁（含）以上老人凭有效证件，优惠票
军人：现役军人凭有效证件，优惠票
残疾人：凭有效证件，优惠票
补充说明：以上信息仅供参考，具体信息请以左海海底世界景区当天披露为准。->停车场：【左海海底世界停车场】参考价格：¥5/小时；地址：景区路边停车场；库位：100；景区内没有停车场，只能是周边地下或者商场停车"
乌山,福州,福州市鼓楼区乌山路,今日06:00开放,0591-83371493,介绍->开放时间,"乌山自唐代起即为游览胜地，“唐宋八大家”之一的曾巩所作的《道山亭记》中的道山，指的便是乌山。
说是乌山，其实也就是市民公园，这里树木成荫，曲径通幽，滕类植物繁多，靠近三坊七巷，很适合从三坊七巷逛累了到这里小憩一下。如果是特意过来看三山二塔的，可以坐公交到乌山站下，下车直接就可以看到乌山景区，而从乌山步行到于山也就20分钟路程，可以一同游玩。
乌山景区门口有游览导游图，登山可以往八十一阶登山道的方向走，一路也都有指示牌，不算难找。山上可以观赏福州市貌和五一广场。夏天坐在乌山长廊里乘凉也再悠闲不过了。
而乌山另一个不容错过的景点就是乌塔，它是“三山二塔”的二塔之一，位于乌山的东麓，与于山的白塔遥遥相对。塔身是用花岗石砌成，因为年代久远外表略微的呈黑色，呼应着它的名字，很多人在这里拍照。
总体而言，市区内留下这么一个僻静之处还是不错的，闲暇之余过去散步挺好的。->全年 06:00-22:00,；具体营业状态以当天开放情况为准"
永鸿野生动物世界,福州,福州市福清市海口镇岑兜村,,0591-26111111,介绍->开放时间->优待政策->服务设施->必看贴士,"福建永鸿野生动物世界是福建省特色的以野生动物科普教育、观赏、展示为主体，集观光旅游、表演等为一体的综合性动物王国。项目占地面积约20多万平方米，依托得天独厚的自然地理环境，为动物创造了一个接近自然的生活环境，为游客营造一个妙趣横生的野生动物世界。
永鸿野生动物世界以近距离观赏模式为特色，将园区分为步行区和车行区，可同时满足不同游客的游览需求。由于园区比较大，车行区可以乘坐游览车进行观赏。
园区内设有动物观赏区、动物表演区、互动区、休闲区等。步行区设有幼儿动物展示区、餐厅、商店等游玩体验区域，车行区还根据各种动物的特性分为澳洲区、非洲区、草食区等区域。
永鸿野生动物世界在设计上突出“回归自然”主题，极大限度缩短人和动物的距离。园区内野生动物品种多样，总计引进各种珍稀野生动物近百种上千只。除了孔雀、节尾狐猴、狒狒、丹顶鹤等动物，还包括非洲狮、黑熊、亚洲象、金钱豹、犀牛等大型珍稀动物。游客可以在野生动物世界内大饱眼福，开拓视野的同时能够了解丰富的野生动物知识。->全年（冬令时） 09:00-17:00,（16:00停止入园）；全年（夏令时） 09:30-17:30,（16:10停止入园）->儿童：1.2米（不含）以下，免费；儿童1.2米(含)-1.5米(不含)，优惠
导游：随团导游凭导游证，免费
老人：70周岁（含）以上凭身份证至线下窗口购票，优惠
残疾人：凭残疾证，优惠
军人：现役军人凭军官证，优惠
记者：凭省级以上出版部门颁发的记者证，优惠
补充说明：信息仅供参考，具体优待政策以景区当日实际公示信息为准->停车场：【永鸿野生动物世界】参考价格：收费；地址：永鸿野生动物世界；库位：500；永鸿动物园停车费用 具体可以咨询景区0591-26111111
行李寄存：
母婴室：地址：园内设有母婴室
餐饮：园内设有餐厅->【高端服务信息】永鸿野生动物世界含景区VIP年卡特享，划算入园->【高端服务信息】永鸿野生动物世界含景区VIP年卡特享，划算入园"
中洲岛,福州,福州市台江区中州岛1号(解放大桥旁),,,介绍->开放时间,中洲岛位于福州市台江区和仓山区交界处，原为闽江中的一处沙洲，洲上曾有许多历史建筑。解放大桥穿其而过。福州市政府于2003年将其开发成欧式风格的步行购物岛。其被誉为“南台明珠”，是福州十大景观之一。->全年 全天开放；具体营业状态以当天开放情况为准
五一广场,福州,福州市鼓楼区古田路32号,,,介绍->开放时间,"五一广场座落在福州市中心于山南麓，占地面积4.5公顷，绿化面积31373平方米。广场北面是市委、市政府举行接待等外事的重要场所；东面有省科技馆、电信枢纽大楼、元洪花园等大型标志性建筑；南面是室内能容纳6000人的省体育馆；西面为福州人民会堂。
五一广场已成为福州市政治文化中心，市民休闲纳凉活动的重要场所，福州市每年的元旦和国庆的升旗仪式都在这里举行。
广场具有浓郁的政治文化气息，中间建有音乐喷泉，水池中一组白色雕塑，高5米的8个舞蹈姑娘，寓意“八闽女儿”在八闽大地欢乐生活。
音乐喷泉南边竖立一座大型不锈钢雕塑福州市标“三山一水”（寓意于山、乌山、屏山和闽江）。->全年 全天开放；具体营业状态以当天开放情况为准"
