names,places,links,imgs,desc,address,address_link
生煎,上海,https://you.ctrip.com/fooditem/shanghai2/7756047-p1.html,https://dimg04.c-ctrip.com/images/tg/282/336/173/17d9df7bed614950bc08b9f2a225f6a2_R_220_140.jpg,生煎是上海的一种地方传统小吃，又叫生煎包或生煎馒头。传统生煎多来自街边小店，大铁锅煎制。面皮雪白松软，底部焦香酥脆，... ,,
上海小笼包,上海,https://you.ctrip.com/fooditem/shanghai2/7810327-p1.html,https://dimg04.c-ctrip.com/images/1006080000003e1eu4999_R_220_140.jpg,小笼包对于上海人而言不仅是一种食物，更是一种生活态度，充分体现了上海人的精致和讲究。上海小笼包皮薄肉美汤鲜，吃法极其... ,上味馆南翔小笼(高平路店),https://you.ctrip.com/food/shanghai2/11502817.html
葱油拌面,上海,https://you.ctrip.com/fooditem/shanghai2/7765430-p1.html,https://dimg04.c-ctrip.com/images/tg/860/675/987/0e83777abed14372be5a3d59033c1693_R_220_140.jpg,葱油拌面作为一道充满上海风情的海派面点，在全国享有名誉。葱油拌面的制作方法不难，材料也易准备，比较家常。做好的面条上... ,王家沙点心店(南京西路总店),https://you.ctrip.com/food/shanghai2/456230.html
青团,上海,https://you.ctrip.com/fooditem/shanghai2/7807197-p1.html,https://dimg04.c-ctrip.com/images/01057120009gi1v3rE616_R_220_140.jpg,青团作为江南地区的传统特色小吃，是一种用艾草汁做成的糕点，因其颜色呈青色而得名。青团一般是用清明节前后才有的艾草汁拌... ,王家沙点心店(南京西路总店),https://you.ctrip.com/food/shanghai2/456230.html
八宝辣酱,上海,https://you.ctrip.com/fooditem/shanghai2/7756039-p1.html,https://dimg04.c-ctrip.com/images/tg/980/731/955/a7dd9e01bccf451fac642b1226a0005b_R_220_140.jpg,八宝辣酱，是上海知名特色菜之一。八宝辣酱采用了鸡丁、肉丁、笋丁、虾仁、花生米等原料，经豆瓣酱炒制而成，味道香中带辣，... ,金时代顺风大酒店(金玉兰店),https://you.ctrip.com/food/shanghai2/328190.html
糖醋小排,上海,https://you.ctrip.com/fooditem/shanghai2/7761350-p1.html,https://dimg04.c-ctrip.com/images/tg/991/587/696/8efe5a3ec6d94546a040c1c16c8f3c42_R_220_140.jpg,糖醋小排是一道色香味俱全的名菜，冷热皆宜，在沪多为冷盘。这道菜以肥瘦相间的猪肋排为主料，经过多道程序烹制后色泽鲜亮，... ,南麓·浙里(巨鹿店),https://you.ctrip.com/food/shanghai2/385438.html
本帮红烧肉,上海,https://you.ctrip.com/fooditem/shanghai2/7771137-p1.html,https://dimg04.c-ctrip.com/images/100p080000003e1l502C6_R_220_140.jpg,你要是问一个上海人喜欢吃什么菜，十有八九是红烧肉。本帮红烧肉采用肥瘦相间的五花肉制成，色泽红亮，恰到好处的火候烹煮出... ,RIVIERA松鹤楼(外滩店),https://you.ctrip.com/food/shanghai2/447317.html
酱鸭,上海,https://you.ctrip.com/fooditem/shanghai2/7765880-p1.html,https://dimg04.c-ctrip.com/images/100g0k000000c56s59182_R_220_140.jpg,酱鸭是上海家喻户晓的一道名菜，充分体现了本帮菜“浓油赤酱”的特色，切成块也可以做为冷盘。鲜鸭在经过与多种香料、冰糖、... ,梅龙镇酒家(南京西路总店),https://you.ctrip.com/food/shanghai2/4994077.html
小馄饨,上海,https://you.ctrip.com/fooditem/shanghai2/7756419-p1.html,https://dimg04.c-ctrip.com/images/tg/398/242/873/2920b3181d704aeca99872ac893289c5_R_220_140.jpg,小馄饨制作方法简单，将少许调好的肉糜包入薄薄的面皮中，一捏一压即可。成型的小馄饨外形精巧，煮熟后皮薄馅嫩，再在汤中撒... ,王家沙点心店(南京西路总店),https://you.ctrip.com/food/shanghai2/456230.html
椒盐排条,上海,https://you.ctrip.com/fooditem/shanghai2/7952647-p1.html,https://dimg04.c-ctrip.com/images/10020k000000cbkc12C2E_R_220_140.jpg,椒盐排条是一道深受大众喜爱的家常菜，先将猪肋骨炸至金黄后，再和椒盐一起炒制而成，少许的椒盐不仅不会抢夺肉的咸香，又能... ,海金滋(陕西南路店),https://you.ctrip.com/food/shanghai2/317664.html
上海熏鱼,上海,https://you.ctrip.com/fooditem/shanghai2/7765892-p1.html,https://dimg04.c-ctrip.com/images/1002080000003e1a4F552_R_220_140.jpg,上海熏鱼外焦里嫩，入口甜香。制作时采用传统工艺，先将腌制入味的草鱼段放入油中炸至金黄后捞出，再放入多种香料和佐料熬制... ,老爸厨房(莘建东路店),https://you.ctrip.com/food/shanghai2/15476038.html
大闸蟹,上海,https://you.ctrip.com/fooditem/shanghai2/7761949-p1.html,https://dimg04.c-ctrip.com/images/tg/203/549/950/64fb96d934634837a9985bee5e250f64_R_220_140.jpg,大闸蟹，河蟹也，但品种一定要是中华绒鳌蟹，个头一定要是三两以上。肥膘体壮的大闸蟹经过烹煮呈现出鲜甜口感，入口满是肥美... ,王宝和酒家(黄浦店),https://you.ctrip.com/food/shanghai2/351670.html
排骨年糕,上海,https://you.ctrip.com/fooditem/shanghai2/7756044-p1.html,https://dimg04.c-ctrip.com/images/tg/678/023/975/6a8972f978944ecfba56296842285afd_R_220_140.jpg,排骨年糕是上海知名特色小吃之一，已经有50多年历史，可以说是到上海不得不品尝一次的美食。排骨年糕的两大主料—排骨和年糕... ,鲜得来排骨年糕(雁荡店),https://you.ctrip.com/food/shanghai2/313435.html
