names,places,addresses,times,teles,titles,descs
郑州方特水上乐园,中牟,郑州市中牟县郑开大道和万三公路交叉口向南3000米(郑州绿博园对面),10:30-22:00开放,"400-166-0006,0371-56928007",介绍->开放时间->优待政策->服务设施,"郑郑州方特水上乐园拥有多项国际主流精品项目，如：大喇叭、小喇叭、魔幻互动水寨、一飞冲天等近20余套件设备，其中多项获得国际行业旅游协会水上设备奖。此外，方特水上乐园打造世界水域面积很大，可以造1.5m连续浪和高达三米的巨浪，并可一次容纳8000人，让游客体验浪花冲击时的无限快感；这里有水上露天吧，让人轻松享受海滨风情：这里拥有千米休闲懒人河，让人感受倘佯溪流的美妙乐趣;这里有充满异域风情的精彩演绎，以具代表性的玩水主题旅游项目为目标，打造华强精品度假旅游的新天地。-飞冲天又名冲天回旋，乘坐皮筏从19米高的平台入口处下滑，如同太空飞船般俯冲而下，越过较低点后带着巨大的惯性冲向对面的爬坡滑板，并迅速爬升至较高点，体验""冲天的快感；惊魂甫定时，又在重力作用下快速回落爬升，经过90度的急转弯后跌落水池，体验""回旋的晕眩。->2023年6月22日-2023年8月27日 周六-周日 10:00-22:00 周一-周五 10:30-22:00->小童：身高1.1米(含)至1.4米(含)之间儿童，须有成人陪同，优惠
老人：年满65周岁(含)以上的人士，优惠
儿童：身高1.1米以下的儿童，免费
补充说明：导游证（非带团导游）、军官证、记者证均不属于免票人士；未满16周岁的游客须由16周岁以上游客陪同；免票人士须持有全价票票价成人陪同，每名持票成人限带一名免票人士。郑州方特水上乐园夜场门票优待政策：除1.1米（不含）以下儿童免票外，其他人群大小同价。->停车场：【郑州方特水上乐园停车场】参考价格：30元/车/次；地址：郑州方特水上乐园东南门；库位：3000；小型车（10座以下、不含10座）：10元/车/次；中型车（10~30座、不含30座）：20元/车/次；大型车（30座及以上）：30元/车/次；产生过夜车辆（00:00—07:00）收取50元/车*次
WIFI：账号：fangtefree；密码：无需密码；范围：全覆盖
卫生间：郑州方特水上乐园内设有多个卫生间，分布在景区内部及游客中心附近，并标有醒目的指示牌。"
大宋武侠城,中牟,河南省开封市龙亭区东京大道中段(开封市委党 校对面),08:00-22:00开放（21:30停止售票，21:30停止入园）,0371-22026930,介绍->开放时间->优待政策->服务设施,"大宋武侠城位于开封市区西北的万岁山游览区，是一座以宋朝文化、武侠文化为背景建设的大型游览区。景区内建设有古色古香、韵味十足的宋朝园林街巷，常年有精彩的武侠、古装表演，还有丰富的娱乐设施，是开封及郑州等地周边放松娱乐的好去处。
游览大宋武侠城，首先感受的是景区优美的风光。武侠城内整体塑造了宋朝的氛围，其中再现宋代千年古刹辉煌的万岁寺、体现佛儒道精神的龙坛、目前世界上留存完整的明清古城墙遗址、国内大型的人造溪流瀑布群之一 “九龙瀑”等众多景观都非常抢眼。难得的是，景区里还有非常大片的森林绿地，环境清幽，每到合适季节都有花朵盛放，很适合拍照摄影。
之后，游客会注意到的是景区里独特的武侠特色，这里常年推出36部（每天大约60多场）武侠主题的剧目表演，《十字坡》《武松醉打蒋门神》《野猪林》等几部主题剧目颇为精彩，来此一定不能错过;而《武侠影视体验厅》、《武状元》和《李逵断案》等互动式表演也能让游客参与到武侠故事之中，趣味十足。在景区的建筑设计中，也有很多武侠的元素，筑有“倚天剑”、“霸王刀”等大型兵器的武侠路、大宋武馆的“侠客图”、十字坡的“剑坛”、聚贤庄、武林会场等地都独具特色。
另外，每年春节期间万岁山都会举办大型的庙会，有规模盛大的演出、丰富的特色小吃、玲琅满目的工艺品和极具特色的娱乐活动等，气氛热烈，目前已经成为中原地区热门的庙会之一。->全年 08:00-22:00（21:30停止售票，21:30停止入园）->免票人群：70岁以上老人（含70岁）；现役军人持军官证、士兵证（须持军人保障卡）；军残证；残疾证；1.2米（不含）以下儿童；国家新闻总署颁发的市级以上新闻记者证；国家级摄影协会会员证；旅行社经理资格证。（具体政策以景区票房公告为准），免费
学生：学生证（全日制在校大中小学生），半价
补充说明：以上政策仅供参考，具体以景区当天披露为准->停车场：【大宋武侠城北门停车场（小车）】参考价格：免费；地址：河南省开封市开封市区大宋武侠城北门外广场；库位：50；【大宋武侠城北门停车场（大车）】参考价格：免费；地址：河南省开封市开封市区大宋武侠城北门外广场；库位：50
园内交通：参考价格：10元/人
卫生间：景区内设有多个卫生间，分布在景区内部及游客中心附近，并标有醒目的指示牌。
便利店：大宋武侠城景区内有多处便利店，具体指引以现场为准"
宋都皇城旅游度假区,中牟,河南省开封市龙亭区东京大道辅路,08:00-22:00开放,0371-22026930,介绍->开放时间,"开封宋都皇城旅游度假区位于千年未变的中轴线——北宋东京城内皇宫所在地，是宋都皇家文化的核心区，也是开封文化旅游的核心区，有着无可替代的文化价值。
度假区内文化旅游资源丰富，区内包含10个景点，大宋武侠城、中国翰园、铁塔公园、启封故园、城墙、州桥遗址、山陕甘会馆、延庆观、繁塔、地下战备粮库。
宋都皇城旅游度假区周边配备了9个大型智慧停车场，提供车位万余个，在核心区域内设有正规运营的旅游观光车20辆，为游客提供便捷舒适的旅游观光服务。->全年 08:00-22:00"
中原福塔,中牟,郑州市管城回族区航海东路1206号,09:30-22:00开放（21:30停止售票，21:30停止入园）,"0371-60609199,0371-60609299",介绍->开放时间->优待政策->服务设施,"中原福塔，又名河南广播电视塔，是集广播电视信号发射，旅游观光，跨境E贸易，餐饮休闲，文化展演，会议庆典等多功能于一体的大型现代旅游景点。中原福塔是河南省十大标志性建筑之一， 省级文明景区，省级文明单位。它由上海同济大学设计研究院设计，于2012年荣获中国土木工程奖――詹天佑奖，中原福塔总高388米，共101层，是目前世界上较大的全钢结构塔之一。
2020年中原福塔打造全新娱乐项目“中原福塔云中漫步”，已成为全国游客前来河南旅游体验一次，是全国高空娱乐体验项目的新品牌新形象。云中漫步由四个项目组成：云端滑道、云中漫步、晃动观景平台、云端飞翔。
“云中漫步”垂直地面高度281米，是目前全球钢结构铁塔上超长的城市高空360度、全透明、无护栏步道。游客可以像漫步在云端一样，尽情体验扶云摘星的刺激与浪漫。
云端滑道：全球超长城市户外空中玻璃滑道，与云中漫步平台相接。可从云中漫步直接体验环形高空玻璃滑道，全景视野快速穿梭在钢铁丛林中，给游客以快速下降的震撼体验。
晃动观景平台：具有声光电及真实晃动效果的玻璃观景平台，垂直于地面268米高空中，给游客以震撼的体验效果，也是饱览城市风光、浪漫表白的好地点。
以前只有在迪拜塔、澳门塔、美国联邦大厦......国际著名地标上，才能体验到的项目，现在不出郑州、不打飞的，在中原福塔就可以深度体验了！
带给你独特的震撼与刺激，快乐与浪漫，明星同款打卡，炫爆你的朋友圈！
97层室内观光层高度约251米，本层主体功能为高空观光及福塔旅游纪念品展示。您可以看到在玻璃窗上标注有东、南、西、北四个主要方向以及全球76座城市的名称和方位，下面的数字则表示我们现在所处位置到达这座城市的空中直线距离。
塔座三、四层为《锦绣中原》全景画馆，由鲁迅美术学院13位知名画家、教授历时五年创作而成，全景画主画高18米，长163米，总绘画面积3012平方米，地面塑型2200平方米， 是目前世界上面积较大的手绘油画全景画，被誉为“当代的清明上河图”。->2023年4月28日-2023年12月31日 09:30-22:00（21:30停止售票，21:30停止入园）；全景画声光电播放时间：10:30；12:00；14:00；16:00；18:00；21：00。每场次30分钟，具体以现场运营时间为准。->儿童：身高1.4米（含）以下免景区大门票（需监护人陪同，每位游客限带一名免票儿童），免费
老人：60岁（含）以上老人免费，免费
革命伤残军人：凭残疾军人证，免费
离休干部：离休干部需持《中华人民共和国老干部荣誉证》或《中华人民解放军离休干部荣管证》，免费
导游证：须持导游证，免费
国家级劳动模范：国家级劳动模范须持中共中央、国务院授予的《全国劳动模范》证，免费
记者：须持有国家新闻出版广电总局统一颁发的记者证，免费
残疾人：须持残疾证，视力、智力和一级、二级肢体残疾人，免1名陪护人员，免费
人民警察：持中华人民共和国公安颁布的《人民警察证》，免费
军人：现役军人凭军人证、士官证，免费
补充说明：以上免票政策仅免中原福塔大门票，不含高空项目。免费人群需提前一天至景区微信公众号预约，预约成功后需携带预约凭证和身份证有序入园。景区实行限流措施，免票人群限流平日500人，周末每天300人；如出游当日已经预约满，可选择其他时间预约。免票票具体预约信息以景区官方公布为准。->停车场：【中原福塔停车场】参考价格：¥5/次；地址：中原福塔停车场；库位：100"
银基国际旅游度假区,中牟,新密市乐海水世界东北侧150米,,4000178178,介绍->开放时间,银基国际旅游度假区包含黄帝宫御温泉、乐海水世界，银基冰雪世界等旅游景点，后期将陆续开发建设的还有主题酒店、梦幻乐园、云岩湖等项目，打造一个休闲度假，住宿生活一体化的旅游度假区。->全年 全天开放；各子景点具体开放时间详见景区公示
大相国寺,中牟,开封市鼓楼区自由路西段36号,08:00-18:30开放,"0371-25978502,0371-22733099,0378-5665982",介绍->开放时间->优待政策->服务设施,"开封大相国寺，原名建国寺，是《水浒传》中鲁智深倒拔垂杨柳的地方。北齐文宣帝天保六年（555年）始创建寺院；唐延和元年（712年），唐睿宗李旦为了纪念他由相王即位当皇帝，将寺名更名为“相国寺”，并亲笔书写了“大相国寺”匾额。大相国寺至北宋时期达到空前的鼎盛，是当时的皇家寺院。现今的大相国寺，大部分建筑都是近年来重建的。寺院的规模也比当年小了很多。
进入寺庙大门后，依次是天王殿、大雄宝殿、八角琉璃殿（罗汉殿）、藏经楼等。目前大相国寺的大雄宝殿内已经没有神像了，这里经常有文物陈列和文化艺术展览，在大殿的周围是青石杆，游客可以看到青石杆上雕刻着几十头活灵活现的小狮子。
寺中的罗汉殿，俗称“八角琉璃殿”，是八角回廊式建筑。殿内回廊中有大型群像“释迦牟尼讲经会”，五百罗汉姿态各异，造型生动。在罗汉殿中间，游客还能观赏到一座木结构的八角亭，亭中有一尊高约6米的“四面千手千眼观音”木雕像。雕像是清乾隆时期的文物，用一株白果树雕刻而成，每面有6只大手，200余只小手，每只小手心有一只慧眼，总共1000余只，故名千手千眼佛。
藏经楼位于整个寺院的后半部，现在是开封书画院的活动场所，楼内布满了各种风格的书法和绘画作品，游客可以观赏或购买。寺内东角有个亭子，亭内悬挂铜钟一口，铜钟铸于1768年，是该寺的珍贵文物。->2023年3月11日-2023年10月31日 08:00-18:30；2023年11月1日-次年2023年3月10日 08:00-18:00->儿童：身高1.2米（不含）以下，免费
老人：60周岁（含）以上老人凭个人身份证或老年证，免费
儿童/学生：身高1.2米（含）-1.4米（不含）儿童，在校学生（凭个人有效学生证、研究生除外），优惠
残疾人及其陪护人员：残疾人（一、二级）及一名陪护人员凭残疾证，免费
军人：现役军人、军残人士凭相关有效证件，免费
佛教及其工作人员：凭工作证及国家颁布相关证件，免费
补充说明：以上优惠信息仅供参考，具体请以景区当日披露为准。->卫生间：景区内设有多个卫生间，分布在景区内部及游客中心附近，并标有醒目的指示牌。
便利店：景区内有多处便利店，具体指引以现场为准"
郑州海洋馆,中牟,郑州市文化路与国基路向西100米,明日08:30开放（16:00停止售票，16:00停止入园）,"0371-63567402,0371-63567403",介绍->开放时间->优待政策->服务设施,"【景点简介】
坐落于郑州市金水区的长乔郑州海洋馆，由中国领航专业海洋旅游度假区、海洋公园投资运营企业---长乔旅游集团倾力打造。项目集海洋生物展示互动、科普研学、剧场演艺、夜宿度假等功能为一体的旗舰型城市海洋馆。
这里物种丰富、妙趣横生，汇集冰海极地、温带、热带生物1000余种、1万余尾，独特的呈现方式令游客仿佛置身于深海秘境之中，2022年郑州海洋馆极地动物世界如期呈现，创新提供沉浸式海洋度假体验，坐拥庞大生物种群资源及独树一帜的氛围场景呈现。与海相伴，白鲸、海豚、企鹅等万余只极地海洋珍稀生物在此汇聚；不负蔚蓝，极地动物世界、海洋水族世界、地中海小镇等三大主题展区海纳全球海洋风貌。更有海洋研学院及海洋夜宿营魅力呈现，夜游海洋，“鱼”我同眠。
【场馆介绍】
郑州海洋馆共分为极地动物世界、海洋水族世界、地中海小镇三大主题展区，建议游玩时间在3-4小时，推荐游玩路线：海洋水族世界1F淡水馆、2F珊瑚海生物馆→海底隧道出口→极地动物世界1F电梯上至8F→8F、7F海豚湾→6F白鲸海→5F、4F白鲸剧场→3F+、3F企鹅岛→地中海小镇两栖动物馆→地中海小镇海豚剧场→地中海礼品商场→游客中心出口
1、极地动物世界
作为郑州海洋馆二期的特色项目——极地动物世界当之无愧。这里有全球特色的贯穿式立体水幕，20米宽屏沉浸式开放空间畅享海洋世界。极地动物世界八层楼高主要分为四大场馆，将分别欣赏到花鲸、海豚、白鲸、企鹅、北极狼、北极狐等珍稀极地动物。
花鲸海豚湾内维京船长的一声号召，动员了来自全球各地的朋友开启这场海洋“鲸奇”之旅；跟随白鲸天使遨游海底吧，蓝色治愈下的唯美恋歌品味与爱同游；南极企鹅馆的呆萌绅士在一片雪白中享受他们的欢乐时光；奇幻世界里保有的一丝清醒，轻而易举地便迷失在绚丽斑斓的水母宫了，一声来自北冰洋的狼嚎才把人拽回现实世界。那就在现实世界和奇幻动物世界中肆意穿梭吧。
2、海洋馆水族世界
海洋馆水族世界主要场馆包括亚马逊雨林馆、海洋剧场、海底隧道馆、珊瑚海生物馆等四大场馆，在这里可以欣赏到南美海狮、东亚江豚、巨骨舌鱼、鳐鱼、魟鱼、鲨鱼等上千种淡水及海水生物。
走在70余米长的海底隧道，身临其境置身于海底世界；“珊瑚生海底，五七株成林，谓之珊瑚林”。而这里成群的珊瑚连成一片海，需要一台5.76亿像素的超级相机亲身体验。
3、地中海小镇
地中海小镇凭借自身城堡风的外表，一气呵成连接起极地动物世界、海洋水族世界以及海豚剧场。这里是为游客创造欢乐的主题乐园，有趣又有乐的观赏项目当然也不能少，海豚表演剧场、海狮家园、海鸟滩、鳄鱼池、两栖爬行馆均坐落在这里。
除了三大主题展区外，地中海礼品店更有丰富多彩的纪念品供游客选择，精选长乔优品，与海相伴，臻藏每一段与海洋动物的情谊；馆区内更有小镇餐厅以及各场馆内相应的白鲸餐厅、企鹅餐厅、海狮餐厅等主题餐厅供游客享受饕餮美食。->全年 08:30-17:00（16:00停止售票，16:00停止入园）->免费人群：身高1米(不含)以下儿童，需有成人陪同，免费
儿童：身高1米（含）--1.4米（不含）之间儿童，可购买儿童票
优待人群：年龄60周岁（含）以上（以身份证出生日期为准）老年人凭老年证或身份证；残疾人凭本人残疾证；现役军人凭军官证+保障卡 或 士兵证+保障卡，可购优待票
补充说明：70周岁以上老人、未满16周岁未成年人，须与监护人同行，方可入园游玩。->行李寄存：参考价格：免费；地址：寄存柜；小推车不予入馆，景区提供免费寄存服务。
卫生间：郑州海洋馆内设有多个卫生间，分布在景区内部及游客中心附近，并标有醒目的指示牌。"
银基动物王国,中牟,郑州新密市刘寨镇银基国际旅游度假区内,09:30-21:30开放,4000-178-178,介绍->开放时间->优待政策,"【景点简介】
银基动物王国位于河南省省会郑州市文化新区新密市，是河南省重点文旅项目，是由银基国际旅游度假区斥资打造的、具备国际水准的动物主题乐园，共有六大主题区域、19组大型游乐设备，预计展示超过200种、逾3000只珍稀野生动物，集动物观赏、科普教育、动物展演、游乐设备、剧场表演、4D影院等众多娱乐元素于一体，是一所拥有互动特色的动物主题综合性乐园。
银基动物王国由梦幻动物园、奇幻世界、翡翠海、生命岛、巨龙山谷及佳宝小镇六大主题区域组成。其中倍受瞩目的，当属互动观光车动物观赏模式。游客乘坐视野开阔的水陆两栖动物观光车、VIP动物观光车，与珍稀野生动物近距离互动，在山脉、丛林、河流间穿梭跋涉，感受震撼的沉浸式动物互动体验。
此外，银基动物王国还有全新的亲子主题双轨竞技过山车——龟兔赛跑过山车、奇幻盒子等多个国内罕有的全新游乐项目，震撼的“生命之树”演出、三大动物展演剧场、4D影院、五大互动剧场等丰富演艺节目日夜轮番登场。以独特性性、多元化、品质化的乐园产品，全天候为游客打造缤纷游玩体验，成为中原地区文旅品牌的新标杆。
【六大主题游乐区域  解锁六大动物互动式游园体验】
银基动物王国以为游客提供安全、有趣的动物互动体验为宗旨，充分运用高科技设备和高科技手段，设立六大主题鲜明、元素多样的游玩区域，为游客带来多种的互动乐趣。乐园总体设计以生命岛为中心，南侧为园区主入口佳宝小镇，翡翠海、梦幻动物园、巨龙山谷区域、奇幻世界四大主题区则环绕生命岛依次分布。
佳宝小镇带你进入缤纷的奇幻世界。“动物王国的国民”在这里与你亲切互动，糖果、玩具、气球、棉花糖是这里的主角，童话故事从这里开始，快跟上佳宝船长的脚步，一起将惊喜层层解锁！佳宝小镇更有郑州第一家“可口可乐主题特色店”，体验新奇，感受全球知名品牌的品牌魅力。
作为银基动物王国动物互动主题特色的区域，梦幻动物园还原了亚非拉地区的自然风光，东北虎、白虎、白狮、南美貘、长颈鹿、牦牛等数十种珍稀大型野生动物种群在此生活，自由漫步于各自的生活领地，还原了野外自然环境下的动物生态。在佳宝船长的带领下，游客们将乘坐奇妙的水陆两栖观光车和VIP观光车，由科普宣传员陪同讲解，探秘崎岖神秘的猛兽山谷，驰骋探索开阔的草原河流，与猛兽同行，俯仰野兽鼻息，感悟大自然的野性之美。白虎跳水展演，表现白虎的野生原始状态，即是动物野化的训练，也为游客提供震撼的视觉效果。位于梦幻动物园的泰哥餐厅，让游客一边就餐一边感受森林之王的威武雄姿，是非常特别的动物主题餐饮体验。丰富的动物资源，互动的动物展示方式，为游客带来神奇的冒险体验。
坐落于银基动物王国西南面的翡翠海，是一座风光旖旎的原始海滨部落。在这里，您将与佳宝船长一起乘风破浪，探索奇妙的大洋与湖泊。部落里居住着许多可爱的动物，它们是：网红萌宠羊驼、水豚、袋鼠，还有缤纷艳丽的金刚鹦鹉、红鹮、犀鸟、巨嘴鸟等大型鸟类，充满神秘色彩的海盗船……更多探险旅程正待发现！
在银基动物王国的正中部，是一座生机勃勃的花园岛屿——生命岛。一棵巨型神木——“生命之树”，自生命岛中拔地而起，向天际蔓延生长。它连接着天空与大地，既是万物生长的源头，也是万物永生之地。这里由美丽的花草、动人的喷泉和可爱的动物雕塑组成了油画般优美的花园景观，高科技的4D电影，精彩的演艺节目在此轮番上演。
来到蕴藏着神秘魔法石传说的巨龙山谷区域。传说，这里埋藏着被龙藏起来的五个魔法石！巨龙山谷区域拥有多个刺激的游乐设施，是游客尖声尖笑的乐趣之地。
【互动式动物观赏模式  寓教于乐收获双重快乐】
银基动物王国以野生动物种群放养、动物互动观光车互动式游览、动物展区与主题娱乐体验区有机融合为三大特色，集动物保护、科研、旅游、观赏、玩乐、科普教育于一体，通过大量原生态植被种植，造景丰容，打造丛林、草原、湖泊等自然场景，充分还原野生动物野外生存环境，力求为游客展示自然本真的动物生态。
园内拥有丰富多样的野生动物种群：既有白狮、白虎等珍稀猛兽种群，也有非洲地域代表性的非洲狮、斑鬣狗、长颈鹿等大型野生动物；人气十足的羊驼、浣熊、长耳兔等网红萌宠在这里展示；红鹮、火烈鸟、金刚鹦鹉、犀鸟、巨嘴鸟等大型鸟类……共计200余种、3000余只水陆空珍稀野生动物，数量繁多。
为了营造与野生动物独特的游园体验，银基动物王国锐意创新，率先启用互动观光车观赏动物模式。游客乘坐奇妙的大巴车穿梭猛兽区，猛兽们时而与大巴并驾齐驱，时而攀上车顶好奇审视。透过大巴的高安全系数钢化玻璃，你可以在距猛兽几厘米之隔的地方，放心大胆地端详猛兽的皮毛与爪牙，看着它们的胸腹如何随着呼吸收缩、扩张，鼻息仿佛尽在咫尺；在草食区，你还可以将手伸出窗外投喂长颈鹿，趁着它低头来咀嚼树叶时，抓紧时机与它来一张亲密合影吧！别忘了还有聪明的亚洲象朝你摇鼻致意，可爱羊驼尾随点头哈腰，白虎勇猛扑跃！趣味十足的互动式动物观光模式，配合动物科普讲解员科普介绍，将让游客在欢乐中收获关于大自然的知识。
园内同时设有亚非拉草原丛林、原始海滨部落、微缩喜马拉雅山脉等形式各异的自然景观，为不同种类动物真实还原野外生存环境的同时，也为游客们提供了丰富的游园体验。
【精彩演艺日夜上演 ，全新亲子设备不容错过】
除了目不暇接的互动式动物游玩体验，银基动物王国还为游客准备了同样丰富的演艺大餐。无论你喜欢可与演员实时互动的剧场式表演，还是大片感十足的科技大秀，抑或是众人同乐的巡游表演，银基动物王国能够一次性满足你！
萌宠剧场汇聚可爱的萌宠，深受家庭的热爱。百老汇剧场融合飞鸟和水陆动物，一次认识多种奇妙动物朋友，感受海陆空的全方位立体动物展演。
全新的亲子主题双轨竞技过山车——龟兔赛跑过山车震撼登场，双轨过山车一直是过山车中备受欢迎的品类，两车同时出发，相互穿越，独特的体验感，让人终身难忘。亲子过山车更是双轨过山车中的特例，全家人的冒险，在这里开始。
奇幻旋转木马是主题乐园特别受欢迎的游乐项目，骑上木马，在马背上旋转、奔腾，进入浪漫神奇的童话世界。
数不完的精彩演出，玩不尽的游乐设施，汇聚银基动物王国。
【可口可乐聚乐部落地银基动物王国 主题乐园再添惊喜】
可口可乐聚乐部亮相河南郑州银基动物王国。它集可口可乐快闪店、博物馆、餐厅等功能为一体，将为消费者带来更独特、更潮流和个性化的沉浸式互动体验。它是可口可乐与文旅行业伙伴合作的新尝试，标志着可口可乐探索跨行业、多维度合作模式的新阶段。->2023年7月3日-2023年8月27日 09:30-21:30；花车巡游每天15:30，奇境森林为每日19:30，每日烟花配合燃放，具体视现场情况决定是否调整。->儿童：身高1.1米（含）-1.4米（不含），优惠；身高1.1米（不含）以下，免费
老人：年龄60周岁（含）以上，凭身份证，优惠
学生：年龄18周岁（含）-25周岁（含）的全日制在校大学生(含本科、专科)，凭本人有效学生证，优惠"
黄帝千古情,中牟,河南省郑州市大学南路566号,10:00-21:00开放,0371-58676666,介绍->开放时间->优待政策->服务设施,"郑州黄帝千古情景区简介
黄帝千古情景区是郑州全新推出的大型景区。
景区内巨型轩辕黄帝造像、图腾大道、鬼屋、风暴馆、烈焰火山、清明上河图电影馆、彩楼、戏水池、丛林攀爬等光怪陆离，仿佛穿越时空；风花街、雪月街、烟云街，一步一景，美不胜收；全室内的亲子乐园有各种亲子游乐项目和互动表演，感受爱与陪伴。一年四季主题活动和潮趴不断，是年轻人释放激情的娱乐新空间、网红打卡点。
主秀《黄帝千古情》是一生必看的演出，从轩辕黄帝到今天的郑州，开启一次神奇的穿越之旅，3000吨黄河之水天上来，上万套舞台机械和设备上天入地，视觉盛宴，心灵震撼！全息秀《幻影》，光影科技与艺术的完美呈现，穿越森林和沙漠，体验一场亦真亦假、如梦似幻的神奇之旅。公园内《穿越快闪秀》《文姬飞天》《鼓上舞》《铡美案》《锅庄狂欢》《抛绣球》《梦舞梨园》等精彩演艺秀，总有一款适合你。
黄帝千古情景区，给我一天，还你千年！
《黄帝千古情》演出简介
大型歌舞《黄帝千古情》是一生必看的演出，从轩辕黄帝到今天的郑州，开启一次神奇的穿越之旅。演出分为《龙的传人》《轩辕与嫘》《大战蚩尤》《郑风国韵》《老家河南》等场，3000吨黄河之水天上来，上万套舞台机械和设备上天入地，视觉盛宴，心灵震撼！


序言：《龙的传人》
天地之中，大河之南，人文初祖轩辕黄帝在此降生，他带领族人狩猎游牧，与洪水搏斗，与自然抗争，终于使这里从遍地洪荒逐渐成为有熊部落繁衍生息的家园。


第一场：《轩辕与嫘》
悠悠悠黄河水亘古流淌，润泽着广袤的中原大地。具茨山下、溱洧河畔，轩辕与嫘的古老爱情在这里传唱。
第二场：《大战蚩尤》
公元前2600年，有熊部落与神农氏缔结同盟，日益强大，引起黄河下游地区九黎部落首领蚩尤的恐慌。为了炎黄部落的安危，轩辕带领族人以夯土筑墙，抵御着蚩尤的连年侵扰，在中原大地上展开了充满传奇色彩的史前战争。
第三场：《郑风国韵》
我们的祖先为我们开创了太平家园，中华文明从此延续千年，从未中断。清澈的溱洧河水从黄帝时期一直流到了春秋，孕育了浪漫的《诗经》。


第四场：《老家河南》
一九四二年，连续的天灾战乱导致河南大地颗粒无收，河南数百万百姓为求生存被迫踏上逃荒之路。在灾难面前，河南人相互扶持。他们不屈不挠的精神与气节，感人至深，让人泪目。->2023年7月1日-2023年7月31日 10:00-21:00；2023年6月22日-2023年6月30日 10:00-21:00；2023年6月19日-2023年6月21日 10:00-17:00；2023年6月17日-2023年6月18日 10:00-21:00；具体营业时间以现场安排为准。->儿童：6周岁(不含)以下或身高在1.2米(不含)以下儿童，符合其中任一项均，可以享受免票（可观看千古情演出，但不提供演出座位）；身高1.2米(含)-1.5米(不含)的儿童，享受优惠票（不含豪华席）
学生：全日制在校大学本科学历以下（含）学生本人有效学生证件，享受优惠票（不含豪华席）
老人：70周岁（含）以上的长者凭本人有效证件，享受优惠票（不含豪华席）
军人：现役军人、离退休军人凭本人有效证件，享受优惠票（不含豪华席）
残疾人：残疾人士凭本人有效证件，享受优惠票（不含豪华席）
教师：30年教龄以上持有荣誉证书的教师凭本人有效证件，享受优惠票（不含豪华席）
补充说明：有效证件以景区现场核实为准。->停车场：【停车场】参考价格：小型车辆，30分钟内免费， 24小时内10元/辆，超过24小时加收10元/辆；地址：景区外停车场；库位：700"
《大宋东京梦华》演出,中牟,河南省开封市龙亭西路5号（清明上河园内）,今日20:10开放,"0371-25663819,0371-25664874,18568676111",介绍->开放时间->优待政策->服务设施,"《大宋东京梦华》是由实景演出策划人梅帅元创意，知名实景演出导演张仁胜执导，开封清明上河园出品的大型实景水上演出。《大宋东京梦华》演出时长70分钟，由700多名演员参与演出，是中国实景演出的又一力作。《大宋东京梦华》是一卷关于北宋王朝鼎盛时期的印象画卷，是《清明上河图》和《东京梦华录》的历史再现。它运用《虞美人》《醉东风》《蝶恋花》《满江红》等八首耳熟能详的经典宋词及其意境，勾勒出北宋都城东京的历史画面。整场演出共分为六幕四场，分别为《序——虞美人》、《醉东风》、《蝶恋花》、《齐天乐》、《满江红》、《尾声——水调歌头》，绚丽的场景、经典的宋词、高科技的舞美，带给广大游客的是强烈的视听震撼，生动、真实地再现了北宋京都汴梁的盛世繁荣。->全年 20:10-21:20->儿童：身高1.2米(含)以下儿童免票（不占座）。，免费
补充说明：身高1.2米（不含）以上儿童、学生、老人等同成人，请购买成人票。 以上信息仅供参考，具体信息请以大宋东京梦华当天披露为准。->停车场：【清明上河园停车场】参考价格：收费；地址：地面停车场；库位：以景区实际情况为准
行李寄存：参考价格：收费
童车租赁：参考价格：收费"
