names,places,addresses,times,teles,titles,descs
悦溪温泉城市度假酒店温泉,乌海,内蒙古自治区乌海市海勃湾区乌海和谐路兴泰滨河领域住宅小区外围（原帝豪金樽）,"2023年1月21日 00:00-13:59,",0473-3035555,介绍->开放时间,"温泉位干海勃湾区滨河领域和谐路与神华街交口，建筑面积10000余平方米，以城市露天温泉，室内日式温泉，韩式汗蒸，休闲广场，餐饮，客房，专业健身房，VR体验馆，儿童嬉水，儿童乐园，动漫城，网吧，台球室，松骨足疗，理疗，美容美甲，自助KTV，私人专享浴场为一体的大型综合性温泉水疗综合馆，全力打造乌海休闲时尚健康快乐的水疗休闲沐浴品牌，开启城市休闲新模式，引领沐浴新潮流!->2023年1月21日 00:00-13:59,；2023年1月22日-2023年12月31日 全天开放；2023年1月5日-2023年1月20日 全天开放"
乌海市科技馆,乌海,市府大道与滨河大道交叉口南,,0473-2886606,介绍->开放时间,乌海市科技馆以“科技、快乐”为主题，设有科技展览馆、多功能剧场、天象厅、青少年活动区等区块，是集青少年科学启蒙教育、艺术教育、素质教育等为一体的综合性校外活动场所，也是寓教于乐的好场所。->具体营业状态以当天开放情况为准
乌海4号公园,乌海,内蒙古自治区乌海市海勃湾区青山路,,,开放时间,具体营业状态以当天开放情况为准
黄河湿地景观区,乌海,内蒙古自治区乌海海南区黄河湿地景观区,,,介绍,这里湿地面积辽阔，一望无际，各种鸟类众多，生态环境良好，是您休闲度假、看日落的好地方。
沙湖生态旅游区,乌海,石嘴山市平罗县下沙公路(前进农场境内),今日08:00开放（16:00停止入园）,"4001800952,0952-6685530",介绍->开放时间->优待政策->服务设施,"沙湖，位于银川市西北约50公里处的平罗县境内，是一处融江南水乡与大漠风光为一体的生态旅游景区。沙湖景区由北面的湖区和南边的沙漠区组成，沙漠区一边是湖，一边是人工渠，与陆地没有连接，去沙漠区必须购买游船票。
在湖区内，你能够看到碧波荡漾的湖水，碧绿衬红的荷花园，还有一簇簇翠绿的芦苇丛，一幅江南水乡的风光。当你乘坐游船，到达了景区南边的沙漠区后，映入眼帘的则是一片金黄耀眼的沙丘，尽显北国大漠雄浑的风情。在沙漠区你还有机会欣赏到各国艺术家制作的散着异国风情的沙雕作品，每年的夏季，这里还会举办国际沙雕节。
沙湖还是观鸟的好去处，湖区繁殖的斑嘴鸭、赤嘴鸭和苍鹭。此外还有数量众多的候鸟，时间主要集中在每年的4-5月和9-10月两个时期。候鸟期时，这里是百鸟争鸣，群鸟飞起时，遮天蔽日十分壮观。冬季沙湖还有冰雕展示和滑雪场。->全年 08:00-18:00,（16:00停止入园）->儿童：身高1.2米(不含)以下儿童免购门船票；，免购门票船票；身高1.2米（含）-1.5米（含），门票半价
老人：60周岁（含）以上凭老免征或身份证，免门票
残疾人：凭残疾证，免门票
现役军人：凭军官证，免门票
跟团导游：凭导游证，免门票
记者：凭记者证，免门票
学生：全日制大中小学生（不含成人教育研究生），门票半价->停车场：【沙湖生态旅游区停车场】参考价格：￥10/次；地址：沙湖生态旅游区门口；库位：5000
园内交通：参考价格：收费；地址：景区入园处
卫生间：园内设有多处卫生间，均有指示牌提示"
海南公园,乌海,内蒙古自治区乌海海南区巴音陶亥街海南公园,,,介绍,海南公园位于乌海市海南区，这里有规划整齐的绿植，大片的假山，风景秀丽，是附近居民散步休闲的好去处。
四合木保护区,乌海,乌海市海勃湾区,,,介绍->开放时间,四合木，蒺藜科，落叶小灌木，草原化荒漠的群种之一，为强旱生植物。是具有代表性的古老残遗濒危珍贵植物，被学术界评价为亚洲中部漠区的特征属，被誉为植物中的“大熊猫”。->具体营业状态以当天开放情况为准
生命纪念园,乌海,内蒙古自治区乌海市海勃湾区G110,,,景点介绍,
桌子山岩画,乌海,乌海市城东,今日08:00开放,,介绍->开放时间,"桌子山岩画位于乌海市城东，主峰海拔高度2149.4米。山脉主体呈南北走向，长约75公里，东与鄂尔多斯高原接壤，西距穿越市区的黄河约2公里。桌子山山势雄伟，峰峦迭起，巍峨壮观，因其主峰山顶较平坦，远眺貌似桌子状，故得此名。
在桌子山脉诸多山沟的悬崖峭壁和沟畔石灰岩磐石上，残存着无数古代岩画的遗迹，称为""桌子山岩画""。桌子山岩画总面积有16000多平方米，1973年由乌海市牧民在放牧时发现的，岩画内容多为太阳神等人面像、动物图形、符号等，每幅岩画单独成画，神态各异，是国内罕见的出土岩画。桌子山岩画创作于新石器时代，每幅画都是刻磨而成，是我国北方游牧民族的历史文化遗迹。特别是人面像岩画是中国和世界人面像岩画之精华，反映人类童年时代丰富的想像力和对生活的美好愿望。
岩画被称为是人类相对较早的画布，世界上人面形岩画主要集中的地区就是乌海市的桌子山岩画，乌海市正在逐步加大力度保护这一珍贵遗产。这里已经先后发现了多处岩画：召烧沟岩画、苦菜沟岩画、后摩尔沟岩画、苏白沟岩画等。从岩画的内容看，多为人面像、动物等图形，其中已经被建成博物馆加以保护的召烧沟岩画是一处较奇特的祭祀岩画组。->全年 8:00-16:00,"
龙游湾湿地,乌海,沃野路5号,,,景点介绍,
阿尔寨石窟,乌海,鄂尔多斯高原西部鄂托克旗阿尔巴斯苏木,,,介绍->开放时间,阿尔寨石窟是一座屹立在高原上的红砂岩小山，旁边还有很多石窟，在这里可以看到一望无际的大草原。->具体营业状态以当天开放情况为准
乌海金沙湾滑雪场,乌海,内蒙古自治区乌海市海勃湾区8公里处,营业时间待定,,介绍->开放时间,乌海金沙湾滑雪场欢迎您的到来->8:30-18:30
金水乐园,乌海,胡杨岛旅游景区附近,,,景点介绍,
海电生态园,乌海,西卓子山街南50米,,,景点介绍,
人民广场,乌海,内蒙古自治区乌海海勃湾区人民路人民广场,,,介绍,人民广场位于当地的繁华地带，也是当地 人气广场之一。广场整体整洁，基础设施完善。是休闲娱乐的好地方。
欣泽水游乐园,乌海,内蒙古自治区乌海海勃湾区110国道欣泽水游乐园,,,景点介绍,
吉奥尼葡萄庄园,乌海,乌兰淖尔镇政府东北500米,08:30开放,"18147312266,18147312299",开放时间,"全年 08:30-12:00,14:00-18:00,"
和谐商业街,乌海,世纪大道,,,景点介绍,
全通文化休闲广场,乌海,内蒙古自治区乌海市海南区太阳神酒店旁,,,景点介绍,
黄河三盛公水利风景区,乌海,巴彦淖尔市磴口县拦河闸,4月-10月8:30-18:00。,0478-4400004,介绍->开放时间->优待政策->服务设施,"三盛公黄河水利枢纽坐落于磴口县巴彦高勒镇东南总干渠入口处，横跨波涛滚滚的黄河，与鄂尔多斯市搭界，是一座以灌溉为主，兼有交通、发电、工业供水、渔业及旅游等综合功能的闸坝工程。
三盛公黄河水利枢纽工程是巴彦淖尔市境内的爱国主义教育基地，主要由2100米长的拦河大坝及工作桥、18孔拦河闸、9孔北岸干渠进水闸及装有4台机组的北岸总干渠水电站等工程组成。这里开展了黄河漂流、探险、垂钓、游泳、河套源头探寻等活动，接待游客观光、度假。将成为今后旅游开发的重点和热点。->11月-次年3月9:00-17:30；4月-10月8:30-18:00。->补充说明：1、具体请以景区当天披露为准。2、免费人群:1.2米（含）一下儿童、70周岁以上老人、军人、残疾人凭有效证件可免费入园。->停车场：【三盛公水利风景区停车场】参考价格：免费；地址：三盛公水利风景区门口；库位：以景区实际情况为准"
黄河红柳园,乌海,石嘴山市惠农区园艺镇,,,介绍,"位于惠农区园艺镇沿黄河到礼和乡银河村一线。远远望去，郁郁葱葱、一眼望不到边的红柳林将黄河紧紧地包围起来，黄河水、红柳林、绿草地和茂密的沙枣树林把旅游区点缀的五彩缤纷，给人一种心旷神怡、海阔天空的绝妙享受。
5万多亩红柳林被黄河与五排沟夹在约5公里狭长的天水一线之内，形成了天然“湖心岛”。坐小船渡过约15米宽的五排沟进入红柳园区，茂密的红柳林令人恍若进入了一片无垠的林海。林中的绿茵小道向红柳园的腹地和四周延伸而去，置身其中，惬意中感觉着新鲜与神秘。在红柳园中心地带，有两处宽阔的草地，为游人提供了休闲娱乐的良好空间。
红柳是一种耐碱耐旱的西北特有野生植物，根系发达，再生繁殖能力特别强，一棵红柳要不了几年就能繁衍出一片红柳林，其枝条是编织柳筐、柳篮等工艺品的极好材料。黄河红柳园面积广大，林草相间，又为各种野生动物生存繁殖提供了极好的空间。走在红柳园的羊肠小道上，不时看到奔跑觅食的野兔和鸣叫不停的“呱呱鸡”，山鹰、水鸟、野鸭和红脖鸟、天鹅等珍贵动物也在万亩红柳园区繁衍生息。每逢节假日，周边地区乃至内蒙古乌海地区的游客到此观光旅游络绎不绝。"
蚂蚁森林232号梭梭林,乌海,内蒙古自治区阿拉善盟阿拉善左旗,,,开放时间,具体营业状态以当天开放情况为准
石嘴子码头,乌海,石嘴山市惠农区,,,介绍->开放时间,位于惠农区黄河大桥以北1.5公里处，长约1公里，紧依黄河，其沿岸石状如嘴，连绵分布。《嘉靖宁夏新志》记载：“石嘴山，城东北二百里，突出如嘴”系石嘴山得名之处。->具体营业状态以当天开放情况为准。
