names,places,addresses,times,teles,titles,descs
青藏铁路,拉萨,拉萨市,,,介绍->开放时间,青藏铁路（藏语：མཚོ་བོད་ལྕགས་ལམ་）是西宁市至拉萨市的铁路，全长为1956公里，为II级单线铁路，由青藏铁路公司管理与营运。铁路沿线共设有45个车站。->全年 全天开放；具体营业状态以当天开放情况为准。
色拉寺辩经,拉萨,拉萨市城关区色拉路1号色拉寺内,,,介绍->开放时间->必看贴士,色拉寺的辩经一直在藏区闻名，也是来到色拉寺游览的重点。色拉寺的辩经仪式在寺内北边的辩经场进行，进入寺庙大门后沿着宽的道路直行千米左右即可到达，进入辩经场不需另买门票。也不用担心西藏午后超大的太阳，因为辩经场内众多的参天大树，阻挡了高原刺眼炙热的阳光，使这里成为一个清新凉爽的宗教活动舞台。每天下午三点开始，持续到五点，其中周日和特殊节日时没有，需要注意。辩经时，僧人们往往一个席地而坐，另一个站在对面，动作夸张的辩论经文，十分有趣。站立者藏语发问，席地者则藏语答辩，辩论话题涉及藏教佛学的各个方面。问题一出，席地者必须不加思索地作出回复，进行反驳或解答。随着辩经活动的深入，有特色的画面开始呈现，站立者面对对方，采用各式各样的手势和丰富的肢体动作，甚至怒目而视、手挥念珠、单脚独立并大力击掌以壮声威。他们或在提问时高举手臂向下劈落；或拉动佛珠表示借助信仰的力量来战胜对方。->包含于色拉寺，辩经时间详见景区现场公示。->辩经允许拍照，但是建议不要使用闪光灯，以免影响僧人。->辩经允许拍照，但是建议不要使用闪光灯，以免影响僧人。
扎耶巴寺,拉萨,拉萨市达孜县扎叶巴沟,9:00-17:30开放（17:30停止入园）,,介绍->开放时间,"扎叶巴寺是宁玛派（红教）寺院，是四大隐修地之一。始建于公元7世纪，距今已有1500年的历史。是吐蕃赞普松赞干布为其爱妃芒萨赤尊公主所建的修行神庙之一，后来几经扩建，形成了紧紧嵌于崖缝壁间的扎叶巴寺。其一大特色是以洞立寺，洞寺合一。与四周山体表面只有浅浅一层草皮的山峰截然不同，扎叶巴充满了自然之灵气。山上松柏挺拔、茂密翠绿，山下清泉涓涓、溪水潺潺流淌。春夏季山花烂漫，百鸟齐鸣。扎叶巴神殿就掩映在山崖之中，别是一幅景色。现存山洞十数个，其中松赞干布修法洞兴建得较早，位于半山峭壁上，原洞内有佛龛、古老壁画及松赞干布的塑像，现佛像已毁。洞的周围修建寺庙，后经多次维修扩建，形成有名的大寺。


8世纪中叶，赞普赤松德赞倡兴佛教，从印度请人来弘扬佛法，距修法洞不远处，原有一间钟房，内悬铜钟一口，钟铭两圈，回环，从文字形体笔势来看，应为吐蕃时期文物。今钟已下落不明。11世纪，古印度高僧阿底峡曾在这里著书立说和讲经，此处有他的故居和修法洞。->全年 9:00-17:30（17:30停止入园）；具体营业状态以当天开放情况为准"
廓琼岗日冰川,拉萨,拉萨市当雄县羊八井镇格达乡雪布曲卡（毗邻304省道）,营业时间待定,,介绍->开放时间->优待政策,"廓琼岗日冰川位于拉萨市当雄县羊八井镇往西格达乡境内，毗邻S304省道，距羊八井地热温泉仅50公里，是目前距离拉萨较近的冰川景区，也是目前世界上车辆可以抵达的海拔较高景区之一。
廓琼岗日冰川集冰川、湖泊、草甸于一体，是一处独具特色的自然生态旅游区，因为揭开面纱不久，所以还留存着许多原始风貌。这里的高山与蓝天相接，白云近在眼前，山体和地面全被厚厚的白雪覆盖，湖泊泛着淡蓝色，如临仙境般的美景，吸引来无数游人前来参观。->全年 08:00-19:00（19:00停止入园）；具体营业状态以当天开放情况为准。->儿童：1.2米（含）以下免费，免费
老人：70周岁（含）以上，免费
补充说明：以上信息仅供参考，具体请以景区实际情况为准。"
宗角禄康公园,拉萨,拉萨市城关区娘热南路9号,,0891-6823540,介绍->开放时间,"宗角禄康公园位于布达拉宫山后，又称“龙王潭公园”，藏语“宗角”意思为“宫堡后面”（宫堡指布达拉宫），“禄康”意为“鲁神殿”。鲁神是藏传佛教和苯教对居于地下及水中的神灵的统称。“鲁神”常被汉译为“龙神”，进而被误传为当地人所称的龙王，所以汉语称宗角禄康公园中的湖为“龙王潭”。
2006年，公园重新规划整治，将公园划分为民俗活动区、自然水景区、龙潭胜迹区、亲水活动区、文化活动区等五个景区。园内建有砾石路、石桌椅、草坪和喷泉等景观，并广栽林木，使之成为一座城市公园。目前，宗角禄康公园已经成为当地市民每天进行晨练和休闲的场所，也是距离布达拉宫比较近的转经场所。->全年 全天开放；具体营业状态以当天开放情况为准"
纳木错乡,拉萨,西藏自治区拉萨市当雄县,,,介绍,纳木错乡在拉萨市当雄县辖乡。坐落于县境北部，总面积4万平方公里，人口0.4万人，通公路。
西藏自然科学博物馆,拉萨,拉萨市城关区藏大东路9号,10:00-17:30开放,0891-6401062,介绍->开放时间,西藏自然科学博物馆，总投资4.425亿元。是西藏规模最大的博物馆、首家自然科技类博物馆。该博物馆设计为自然博物馆、科技馆、展览馆“三馆合一”的公益性特大综合型博物馆，集展示与教育、科研与交流、收藏与制作、休闲与旅游于一体，是一处将科技性、参与性、趣味性融为一体的科普教育及旅游观光基地->2023年11月1日-次年2023年4月14日 周三-周日 10:30-17:00；全年 周一-周二；2023年4月15日-2023年10月31日 周三-周日 10:00-17:30
云藏文化体验空间,拉萨,拉萨市城关区拉萨民族旅游商场四楼,10:30-21:00开放,0891-6357007,介绍->开放时间,"云藏文化体验空间在大昭寺广场前民族旅游商城四楼，走出电梯，首先映入眼帘的是一排转经筒，整个大厅具有浓厚的藏文化气息，雕花的木门，藏式桌椅，独特的装修风格，简约却不简单。
这里，是闹中取静的好地方。
在这里，您可以穿上美丽的藏装拍一套有纪念意义的照片；在这里，您可以安静地绘制一幅唐卡，还可以亲手制作独特的藏香……
在200平方米的云藏文化体验空间里，游客们可以看到真实的藏族文创产品，有藏香、塑像、唐卡绘画、藏装体验等，这些民间工艺、服饰文化、生活用具，形象而生动地再现了藏民族多姿多彩的民俗风情。
云藏文化体验空间致力于建设有别于传统博物馆、展览馆的场馆，将体验场馆包装成集参观、聆听、触摸、学习、体验为一体的文化体验空间，让游客在这里能够亲手制作藏香、绘制唐卡、塑造泥塑像，亲自动手体验酥油茶和糌粑的烹制。->2023年5月1日-2023年10月31日 10:30-21:00；2023年11月1日-次年2023年4月30日 11:00-19:30"
布宫白宫,拉萨,拉萨市城关区北京中路35号布达拉宫内,09:00-16:00开放（15:00停止入园）,0891-6339615,介绍->开放时间,"布达拉宫的主体建筑由三部分组成。红宫居中，东连白宫，西接扎厦，三者相互贯通，浑然一体。白宫因外墙为白色而得名。布达拉宫白宫是原西藏地方政府的办事机构所在地，高七层。
位于第四层中央的东有寂圆满大殿，面积717平方米，这里是各世坐床、亲政大典等重大宗教和政治活动场所。第五、六层是摄政办公和生活用房等。高处第七层有两套，由于这里终日阳光普照，故称东、西日光殿。->全年 09:00-16:00（15:00停止入园）；2020年10月26日起布达拉宫整体建筑进行粉刷工作，营业时间调整至9:00-14:20。"
拉鲁湿地自然保护区,拉萨,拉萨市城关区当热西路50号,08:00-20:30开放,,介绍->开放时间,拉鲁湿地国家自然保护区是典型的青藏高原湿地，属于芦苇泥炭沼泽。湿润的气候和丰美的水草在高原上十分难得，每年引来大批赤麻鸭、黄鸭、斑头雁、棕头鸥、戴胜、百灵和云雀等各种野生鸟类，另有少量国家一类保护动物黑颈鹤在此嬉戏。这处世界海拔较高、面积较大的城市湿地，也是我国城市内陆自然湿地。每年的11月，数千只不同种类的候鸟将集中赶来拉鲁湿地越冬，包括黑颈鹤、斑头雁、赤麻鸭、白鹭、白骨顶、胡兀鹫等珍贵濒危鸟类的栖息地和越冬地。->2023年5月1日-2023年10月31日 周二-周日 08:00-20:30 周一；2023年11月1日-次年2023年4月30日 ；开放时间随日出、日落的变化而变化，具体营业状态以当天开放情况为准。
