names,places,addresses,times,teles,titles,descs
Sail the Nile,卢克索,"卢克索, 埃及",,+20 101 313 1886,开放时间,"周日 - 周六上午12:00 - 下午11:59days: 周日 - 周六, times: 上午12:00 - 下午11:59,"
Obelisk of Thutmoses I,卢克索,"Luxor, Egypt",,,介绍->开放时间,雄伟的方尖碑矗立在卡纳克神庙的废墟中，即使已经历了数千年的日月，依然保存的非常完好，且碑文依旧清晰可见。->具体营业状态以当天开放情况为准。
Souks (Market),卢克索,"Luxor Center, Luxor, Egypt",,,景点介绍,
Corniche,卢克索,"street along the Nile, Luxor, Egypt",,,景点介绍,
Luxor Market,卢克索,"El-Souk, Luxor Egypt",,,景点介绍,
Dream Balloons,卢克索,"卢克索, 埃及",,,景点介绍,
Shop Sandouk,卢克索,"West Bank, Ferryboat area , | Behind Nile Valley Hotel., Luxor, Egypt",,,景点介绍,
埃的陵墓,卢克索,"Western Valley, Luxor",,(20-95)2311662,介绍->开放时间,"这原本是图坦卡蒙法老应该下葬的陵墓，然而他过世太早，他的继承人埃按照惯例与他交换了陵墓。这里相对于其他陵墓来说，处在一个非常偏远的位置。
有名的是墓室中，埃法和捕鱼的浮雕，一般来说这种生活场景不会出现在王室的墓室中。其次墙上的12只狒狒代表了夜晚的12个小时。->5月1日-斋月6:00-19:00（最后售票时间为18:00），斋月-次年4月30日6:00-17:00（最后售票时间16:00）。（注：斋月一般为每年的7月或8月）"
Temple of Amun,卢克索,"Temple of Karnak complex, Luxor, Egypt",,,介绍,这是位于卢克索的一座重要的古代神庙，供奉着埃及神话中的太阳神阿蒙和其他重要神祇。
Mut Temple,卢克索,"PM64+M38, Rd Lead to Al Oksor, Karnak, Luxor, Luxor Governorate",,,介绍->开放时间,神庙位于尼罗河附近，这里有很多破败的雕塑，包括狮身人面坐像，以及柱石一类的建筑。->具体营业状态以当天开放情况为准
