names,places,addresses,times,teles,titles,descs
Predators Safari Club,阿鲁沙,"阿鲁沙, 坦桑尼亚",08:00-14:00开放,+255 754 562 254,开放时间,全年 周一-周五 08:00-17:00 周六 08:00-14:00 周日；具体营业状态以当天开放情况为准
Signature Safari,阿鲁沙,"阿鲁沙, 坦桑尼亚",07:15-17:00开放,"+255-755-880881,+255-783-880881",开放时间,全年 周六 07:15-17:00 周二-周五 07:15-18:30 周一 07:30-18:30 周日
Safaris-R-Us,阿鲁沙,"阿鲁沙, 坦桑尼亚",8:00-24:00开放,+255 626 249 125,开放时间,全年 周一-周五 8:00-17:00 周六 8:00-24:00
Focus In Africa,阿鲁沙,"阿鲁沙, 坦桑尼亚",,0755 218 062,开放时间,全年 全天开放
Kibuyu African Safaris,阿鲁沙,"Arusha, Tanzania",9:00-24:00开放,+255 762 511 545,开放时间,全年 周一-周五 9:00-18:00 周六 9:00-24:00
Inno Africa safaris,阿鲁沙,"阿鲁沙, 坦桑尼亚",,+255752940130,开放时间,全年 全天开放
Mount Meru,阿鲁沙,"Arusha National Park 00255, Tanzania",,,开放时间,全年 全天开放
Adventure Makers Tanzania,阿鲁沙,"阿鲁沙, 坦桑尼亚",9:00-13:45开放,+255 755 035 513,开放时间,全年 周一-周五 全天开放 周六 9:00-13:45
Benson Safaris Tanzania,阿鲁沙,"阿鲁沙, 坦桑尼亚",,+255 769 164 838,开放时间,"周日 - 周六上午12:00 - 下午11:59days: 周日 - 周六, times: 上午12:00 - 下午11:59,"
Moorland Safari and Trekking,阿鲁沙,"阿鲁沙, 坦桑尼亚",,+255 658 070 113,开放时间,"周日 - 周六上午12:00 - 下午11:59days: 周日 - 周六, times: 上午12:00 - 下午11:59,"
