names,places,addresses,times,teles,titles,descs
Kwame Nkrumah Memorial Park,阿克拉,"GQVV+9M8, Accra, Ghana",,,介绍->开放时间,Kwame Nkrumah Memorial Park是一个学习 Nkrumah文化的重要场地，博物馆占地面积广，建造别致，庄严肃穆，馆内各种雕塑建筑都在向人们散发着它独有的魅力。->具体开放时间以现场公示为准。
"Forts and Castles, Volta, Grea...",阿克拉,Accra Ghana,,,景点介绍,
Aburi Botanical Garden,阿克拉,"Aburi, Ghana",8:30-17:00开放,+233 34 219 7473,介绍->开放时间,Aburi Botanical Gardens ，这家植物园开在阿克比郊外的地方，是一个很大的植物园，里面有很多非洲特有的奇妙植物，非常漂亮。->全年 8:30-17:00
Labadi Pleasure Beach,阿克拉,"Accra, Ghana",,,介绍,这是一片美丽的海滩，有沙滩、清澈的海水，还有沙滩排球、皮划艇、滑水等娱乐活动，景色优美，是人们娱乐放松的好地方。
Independence Arch,阿克拉,"Marine Dr, Accra, Ghana",,+233-54-2999206,介绍->开放时间,这是一座纪念加纳独立的纪念碑，是独立广场建筑群的一部分，适合拍照。->全年 全天开放；具体营业状态以当天开放情况为准
Sakumono Beach,阿克拉,"Tema, Ghana",,+233 20 947 4206,开放时间,全年 全天开放；具体营业状态以当天开放情况为准
Centre for National Culture,阿克拉,"John Evans Atta Mills High St, Accra, Ghana",7:00-18:30开放,+233 27 739 2312,介绍->开放时间,该景点是一处当地手工艺品的卖场，商品包括面具、木雕、鼓、包等，是具有纪念意义的小物件。->全年 周一-周六 7:00-18:30
Alliance Francaise d'Accra,阿克拉,"South liberation Link | Airport Residential Area, Accra 4904, Ghana",今日09:00开放,+233 50 128 7809,介绍->开放时间,露天的餐厅，食物美味，价格优惠，经常会举办音乐会和艺术展览，用餐的同时观赏表演，让您的味蕾和视觉都得到满足。->全年 周一-周五 7:00-18:30 周六 9:00-13:30
The National Theatre of Ghana,阿克拉,"South Liberia Road | Post Office Box GP198, Accra, Ghana",08:30-16:30开放,+233-302-908-348,介绍->开放时间,The National Theatre of Ghana位于阿克拉，是当地知名的剧院，里面的演出种类很多，有戏剧、音乐和舞蹈等，是艺术爱好者的理想去处。->全年 08:30-16:30；暂无
233 Jazz Bar & Grill,阿克拉,"North Ridge Crescent, Ghana",今日10:00开放,+233-23-3233233,开放时间,全年 10:00-02:00；具体营业状态以当天开放情况为准
