names,places,addresses,times,teles,titles,descs
Russia Egypt Friendship Memori...,阿斯旺,"As Sad Al Aali Area,",,,景点介绍,
Feryal Garden,阿斯旺,"Aswan, Egypt",,,景点介绍,
荷鲁斯神庙,阿斯旺,"Adfo, Edfo, Aswan Governorate, Egypt",07:00-17:00开放,+20-97-711716,介绍->开放时间->必看贴士,"荷鲁斯神庙修建于公元前237年，历时200多年才竣工完成，主要供奉鹰头人身的天神荷鲁斯（Horus）。荷鲁斯是古埃及十分重要的神之一，通常被描述为戴着埃及皇冠的神鹰，古埃及的法老们都视自己为荷鲁斯的化身。整座神庙并不很大，只有一座主要神殿，殿外有荷鲁斯的鹰头雕像。内部与其他神庙都类似，外间是一间巨柱大厅，内间为石室，里面有一条罕见的鳄鱼木乃伊。->全年 周一-周二,周四-周六 07:00-17:00 周三,周日 06:00-17:00->神庙内部不准拍照。->神庙内部不准拍照。"
El-Tabia Mosque,阿斯旺,"Aswan, Egypt",,,景点介绍,
Agilkia Island,阿斯旺,"Aswan, Egypt",,,介绍,这座岛屿位于老阿斯旺大坝附近，岛上有伊希斯神庙、图拉真亭、戴克里先门和内克塔尼博亭。岛上还有一些植被区和一个咖啡馆。
Aswan Sculpture Park,阿斯旺,"Old Quarry Near Aswan, Aswan, Egypt",,,景点介绍,
Cappella di Santa Brigida,阿斯旺,"12026 Piasco, Italy",,,景点介绍,
孔翁伯,阿斯旺,阿斯旺,,,介绍,孔翁伯位于埃及阿斯旺，是一座历史悠久的神庙遗址，虽然只剩下残垣断壁，但是依旧显得雄伟壮观，在这里，除了观赏珍贵的鳄鱼木乃伊之外，游客还可以欣赏精美的壁画。
齐吉纳岛,阿斯旺,"Abu AR Rish Qebli, Qism Aswan, Aswan",,,介绍,位于大象岛北侧，岛屿整体就是有英国人奇吉纳将军建造的植物园。奇吉纳是在埃及军重新编组时出任将军，1898年和苏丹的战争中领军获胜。岛内有埃及具代表性的饮料、有名的扶桑茶以及芒果等。茂盛的亚非植物，色彩艳丽，香味十足。
Philae Island,阿斯旺,"Aswan, Egypt",,,景点介绍,
