names,places,addresses,times,teles,titles,descs
Kuiseb Pass,温得和克,"C14 road, Namibia",,,景点介绍,
National Art Gallery of Namibi...,温得和克,"John Meinert Street & Robert Mugabe Avenue, Windhoek, Namibia",9:00-14:00开放,+264 61 231 160,开放时间,全年 周一 14:00-17:00 周二-周五 8:00-17:00 周六 9:00-14:00
Nomad,温得和克,"108 Corner Jan Jonker and Sanderburg | Luxury Hill, Windhoek 9000, Namibia",,+264 81 494 5005,开放时间,"days: 周日, times: 上午9:00 - 下午3:30,days: 周一, times: 上午9:00 - 下午7:15,days: 周二 - 周五, times: 上午9:00 - 下午7:30,days: 周六, times: 上午9:00 - 下午8:30,"
Scenic Air,温得和克,"温德和克, 纳米比亚",,+264 61 249 268,开放时间,"周一 - 周五上午8:00 - 下午5:00days: 周一 - 周五, times: 上午8:00 - 下午5:00,days: 周六, times: 上午9:00 - 上午12:00,"
Naankuse Wildlife Sanctuary,温得和克,"Windhoek, Namibia",,,景点介绍,
Kuiseb River,温得和克,"Near Road C14, Namib-Naukluft Park, Namibia",,,景点介绍,
Geological Survey Museum,温得和克,"6 Aviation Road, Windhoek, Namibia",,+264 61 284 8111,开放时间,全年 周一-周五 08:00-17:00
Elim Dunes,温得和克,"Namib-Naukluft Park, Namibia",,,景点介绍,
Bitterwasser Lodge & Flying Ce...,温得和克,"温德和克, 纳米比亚",,+264 63 265 300,开放时间,暂无
Avis Dam Nature Reserve,温得和克,"Airport Road, Windhoek, Namibia",7:00-19:00开放,+264 61 255 224,开放时间,全年 7:00-19:00
