names,places,addresses,times,teles,titles,descs
拉龙德六旗游乐园,蒙特利尔,"22 Chemin Macdonald, 蒙特利尔, QC H3C 6A3, 加拿大",,+1 514-397-2000,介绍->开放时间,蒙特利尔有惊险的游乐设施和令人惊叹的表演，对成年人和孩子来说都是一大吸引力。你和你的家人一定会在公园里尽情享受。不仅仅是乘车旅行，每周的每一天、每一个晚上都有节目让你开心。烟花、表演者和乐队戴上的眼镜几乎和公园里的过山车一样令人兴奋。所有的事情都可以做，你甚至可以在公园提供的众多餐馆之一休息和放松。->全年 周一 09:00-18:00
蒙特利尔塔,蒙特利尔,"3200 Rue Viau, 蒙特利尔, QC H1V 3J3, 加拿大",,,介绍,"不论是圣劳伦斯河(St.LawrenceRiver)的宁静美丽还是市中心摩天大楼的雄伟壮观，只要你登上塔的顶端，这一切可尽收眼底。
蒙特利尔塔还是世界联盟高塔组织的重要成员之一，而且它还在1988年5月被密曲林(MichelinGuide)授予了二颗星的荣誉。"
麦考得加拿大历史博物馆,蒙特利尔,舍布鲁克西街690号。,今日10:00开放,+1 514-861-6701,介绍->开放时间,"麦吉尔大学旁的麦考得博物馆，是一座以展现加拿大历史和文化为主的博物馆，于1921年创建。->全年 周六-周日 10:00-17:00 周三 10:00-21:00 周二,周四-周五 10:00-18:00"
圣帕特里克大教堂,蒙特利尔,460 René-Lévesque 大道。西蒙特利尔，QC H2Z 1A7,今日10:00开放,+1 514-866-7379,介绍->开放时间,圣帕特里克大教堂位于加拿大蒙特利尔，是罗马天主教的宗座圣殿。->全年 周一-周五 10:00-16:00 周六 10:00-17:00 周日 08:00-17:00
艺术广场,蒙特利尔,"Montreal, Quebec H2X 1Y9",,,介绍,"位于Saint-Urban路与安大略路的交口，这里有许多艺术回廊，里面可容纳3,000人，还有音响设备、华丽的装潢等。另外像可容纳13,000人的TheatreMaisonneuve及有8,000个座位的TheatrePortRoyale二家剧院，常有歌剧、芭蕾的表演以及各种音乐会及戏剧演出。尤其是SalleWilfridPelletier音乐厅更是古典乐迷不能错过的。夏季的爵士乐节、嬉笑节等节日常在此地举办。"
蒙特利尔考古历史博物馆,蒙特利尔,"350 Place Royale 蒙特利尔, QC H2Y 3Y5",今日11:00开放,+1 514-872-9150,介绍->开放时间,蒙特利尔考古历史博物馆就建在蒙特利尔的遗迹上，其建筑特色很值得欣赏。这里收藏了大量历史和考古的文物，可以充分了解蒙特利尔的历史。->全年 周二-周五 10:00-17:00 周六-周日 11:00-17:00；7-8月周一-周五：10:00-18:00； 周六-周日：11:00-18:00； 其它时间周四-周五：10:00-17:00； 周六-周日：11:00-17:00。
Little Italy,蒙特利尔,加拿大魁北克省蒙特利尔圣洛朗大道,,,介绍,位于皇家山高地北边的小意大利区有着浓浓的意大利风情。在圣劳伦斯大街上，到处可以看到意大利特色，电视里的意大利足球播放不断。当然意大利美食也聚集于此，蒙特利尔特大的市集让•塔隆集市就在这里，有空的话来逛逛这个意大利风情的“菜市场”吧！
环境博物馆,蒙特利尔,"160 Chemin du Tour de l'isle, 蒙特利尔, QC H3C 4G8, 加拿大",今日09:00开放,+1 514-868-3000,介绍->开放时间,"水文馆位于Saint-Helene岛，远远地看去犹如一个圆形的透明建筑物，设计相当复杂、新颖，是由很多三角形钢管结构支撑而成，是由67年在蒙特利尔举行的世博会建成的美国馆改造而成，因为建筑很有特点，所以世博会结束后并没有拆除，而是改为水文生态科技馆常年开放。
水文博物馆馆内展出的都是有关圣劳伦斯河以及地球水文特点的科普知识，说明了人、生物与水的关系，教育人们要从小养成节约水资源的理念，合理利用水，使人与自然和谐相处。->全年 周二-周日 09:00-16:30"
杜尔切斯特广场,蒙特利尔,蒙城市中心的正中央，中央火车站旁,今日09:00开放,+1 514-872-0311,介绍->开放时间,"杜尔切斯特广场和加拿大广场(PlaceduCanada)是两个紧紧靠在一起的绿色广场，位于蒙城市中心的正中央，广场內矗立著加拿大第一位总理SirJohnA.Macdonald的塑像。
广场周围遍布着著名建筑，高大雄壮，广场内环境优雅，绿树成荫，花团锦簇，更有众多精美的雕塑遍布周围。每当夏季这里更是众多节日汇集之处，同时也是国庆游行的终点。在1799年至1854年间，这里曾是蒙城天主教的墓园所在地。->全年 09:00-21:00"
蒙特利尔科学中心,蒙特利尔,"2, de la Commune Street West | Quai King-Edward, 蒙特利尔, 魁北克 H2Y 4B2, 加拿大",今日10:00开放,+1 514-496-4724,介绍->开放时间,蒙特利尔科学中心，是一个非常有名的科学博物馆，成立于2000年，起初被称为“iSci中心”，后更名为蒙特利尔科学中心。博物馆由蒙特利尔旧港公司（加拿大政府的国有企业加拿大土地公司的一个部门）管理 。该博物馆设有科学和技术的互动展览以及IMAX剧院。->全年 周六-周日 10:00-17:00 周一-周五 09:00-16:00
