names,places,addresses,times,teles,titles,descs
Nyasi Adventure,达累斯萨拉姆,"Dar es Salaam, 坦桑尼亚",,,景点介绍,
Tanzania Centre for Cultural H...,达累斯萨拉姆,"Nyerere Road | Quality Centre Mall, Dar es Salaam 235, Tanzania",09:00-18:00开放,+255 689 885 287,开放时间,"全年 09:00-18:00；days: 周日 - 周六, times: 上午8:30 - 下午8:00,"
Violet's Massage,达累斯萨拉姆,"Mt Atlas Road, Dar es Salaam, Tanzania",10:00-22:00开放,+255 718 005 905,开放时间,全年 周二-周日 10:00-22:00
Matema Beachg,达累斯萨拉姆,"Lake Nyasa Shore, Matema, Tanzania",,,景点介绍,
Azania Front Lutheran Chruch,达累斯萨拉姆,"Sokoine Drive, Dar es Salaam, Tanzania",,,景点介绍,
Upepo Safari,达累斯萨拉姆,"Dar es Salaam, 坦桑尼亚",,,景点介绍,
Botanical Gardens,达累斯萨拉姆,"Samora Ave, Dar es Salaam, Tanzania",,+255 22 212 3551,开放时间,全年 周一-周五 09:00-17:00
PPF Tower,达累斯萨拉姆,"Garden Avenue | 6°48'50s 39°17'22e, Dar es Salaam, Tanzania",,,景点介绍,
Fresh Mood Treks,达累斯萨拉姆,"Dar es Salaam, 坦桑尼亚",,,景点介绍,
Sea Sense,达累斯萨拉姆,"1372 Karume Road, off Haile Selassie, Oyster Bay, Dar es Salaam., Dar es Salaam, Tanzania",,,景点介绍,
