names,places,addresses,times,teles,titles,descs
乔吉特海湾,塞舌尔,"Anse Georgette, Seychelles",,+248-2-774617,介绍->开放时间->必看贴士,"乔吉特海湾位于普拉兰岛西北端，这里的沙滩特别白，将果冻色的海水凸显无疑。沙滩在酒店里，需要提前预约。
沙滩西边有一处名为Pointe Millers的观景点，在此可以拍到整个白色沙滩和碧绿色海湾的全景，但无法从海滩上直接前往，建议包车或者自驾转到公路上再向沿海公路行驶至尽头。->具体营业状态以当天开放情况为准->在海滩上需做好措施，海滩上虽然人较少，但还需保管好自己的贵重物品。下海游泳时需要注意，小心大浪。->在海滩上需做好措施，海滩上虽然人较少，但还需保管好自己的贵重物品。下海游泳时需要注意，小心大浪。"
圣安妮海洋国家公园,塞舌尔,塞舌尔,06:30-17:30开放,+248-4-225114,介绍->开放时间->必看贴士,"建于1973年的圣安妮海洋公园位于维多利亚外围，在建立之初的目的便是为了保护区域内的海洋生物的生态环境，因此这处公园是禁止任何钓鱼及水上运动的。
它是由塞尔夫岛（Cerf Island）、中岛（Moyenne Island）、圣安妮岛（Ste Anne Island）、圆岛（Round Island）、长岛（Long Island）和喀舍岛（Cachée）6个岛屿组成。
这些岛屿都相距不远，退潮时，甚至可以在沙滩上行走，从一座岛走到另一座岛。在这些岛屿中，只有塞尔夫岛和中岛允许被一日游的游客所登入。
这里除了各种珍稀而奇特的海洋生物外，圣安妮海洋公园的各色沙滩亦是放松心情的场所。而如果想长时间停留也不必忧心无法实现，因为目前在海洋公园区域内的圣安妮岛、圆岛、塞尔夫岛都有住宿设施可提供。->全年 周一-周六 06:30-17:30 周日->1. 海洋公园内日照很晒，需做好防晒措施。
2. 为了保护海洋生物的生态环境，禁止在园内钓鱼和水上运动。->1. 海洋公园内日照很晒，需做好防晒措施。
2. 为了保护海洋生物的生态环境，禁止在园内钓鱼和水上运动。"
拉齐奥海湾,塞舌尔,"Anse Lazio, Praslin Island",,+248-2-575848,介绍->开放时间->必看贴士,拉齐奥海湾位于普拉兰岛西北角上，在这里，你完全可以抛开烦恼，躺在沙滩上享受眼前碧蓝的海水，温暖的阳光。->全年 全天开放；具体营业状态以当天开放情况为准->在沙滩上需做好防晒措施。->在沙滩上需做好防晒措施。
马埃谷地自然保护区,塞舌尔,"Grande Anse, Praslin Island, Seychelles",09:00-16:00开放（15:00停止入园）,+248-4-236220,介绍->开放时间->必看贴士,有人说，如果塞舌尔是人间天堂，那么五月谷就是这天堂里的伊甸园。五月谷坐落在普拉兰岛的中，又名马埃谷，是世界上较小的自然遗产，这里是海椰子的家园，因其中7000多棵海椰子树而闻名于世。->全年 09:00-16:00（15:00停止入园）；12月25日和1月1日关闭。具体营业状态以当天开放情况为准->山谷中需要徒步，较为湿滑，建议穿上防滑的运动鞋，做好措施。->山谷中需要徒步，较为湿滑，建议穿上防滑的运动鞋，做好措施。
维多利亚·布查德花园,塞舌尔,"9F92+QR6, Sans Soucis Road, Victoria",08:00-17:00开放,+248 4 670 537,介绍->开放时间,"塞舌尔国家植物园位于首都维多利亚，植物园不大，但却珍藏着全国各种珍贵植物，其中不乏奇花异草和名贵植物，当然，还是椰子树。这里可谓是塞舌尔自然植物系谱的一个缩影。->全年 周五-周六 08:00-17:00 周一-周四,周日 07:30-17:00"
凤凰岭,塞舌尔,"Sans Soucis Rd, Mahe",00:00-23:59开放,,介绍->开放时间,这个滑稽的名字，是当地的华人起的。它在马埃岛的“莫纳山国家公园”内，是塞舌尔早期移民的教会学校旧址，是由欧洲教会捐助的慈善机构，也是塞舌尔早期的慈善项目。校舍已成废墟，但坐在山顶凉亭里，可以将马埃岛西海岸的美景一览无余。->全年 00:00-23:59
伊甸园岛,塞舌尔,"Eden Island, Mahe",,+248-4-346000,介绍->开放时间,"伊甸园岛是塞舌尔唯一的人工岛屿，位于马埃岛东海岸机场的北面，为中东石油土豪的杰作。由栈桥连接的伊甸岛距离马埃本岛仅几百米，这处正对圣安妮国家海洋公园的小岛也是塞舌尔著名的高级住宅区。
作为招商引资的代表作，这个人工岛上的建筑，包括豪宅、商场、水上码头等，其样子与结局与迪拜的棕榈岛如出一辙。而如今这里已经成为了游艇码头。从山上俯瞰下去，蔚蓝色的海面上围着一片片鲜红色的建筑群，美轮美奂。
开发有超过40万平米的私人房产及16万平米的私人水域。其位于岛上的住户均有私人泊位可停泊游艇，而作为世界上少数可停泊游艇超过100米的超级游艇码头，伊甸岛国际码头也是感受“有闲”一族生活氛围的去处之一。->全年 全天开放"
维多利亚钟塔,塞舌尔,"9FG2+PWP, Mahé",,,介绍->开放时间,从市场出来不远处，可以走到一个红绿灯的丁字路口，再往前走便可看到传说中的“小笨钟”。这座钟塔高约5米，如今作为纪念碑存在着，它的周围有塞舌尔图书馆、邮局和各大银行，是维多利亚非常繁华的街道，邮局对面就是出名的海盗餐厅。->全年 全天开放
塞舌尔山国家公园,塞舌尔,Seychelles National Park，Seychelles,,+248-4-225114,介绍->开放时间->必看贴士,这里是塞舌尔的高处，是俯瞰整个马埃岛，欣赏山海全景的较好地方。这里也是徒步的较佳地，你可以在维多利亚植物园内拿到一些图片宣传册，也可以请一位当地向导一同前行。->具体营业状态以当天开放情况为准->在户外徒步建议穿上合适的鞋子，做好防晒措施，带好充足的饮用水和干粮。->在户外徒步建议穿上合适的鞋子，做好防晒措施，带好充足的饮用水和干粮。
库瑞尔岛,塞舌尔,"Curious, Praslin Island",,,介绍->开放时间->必看贴士,库瑞尔岛又称屈里厄斯岛，位于普拉兰岛以北处，这里也是塞舌尔除五月谷外，唯一一处海椰子自然生长的地方。想要上该岛，可以参加当地的一日游，会连同周边几个小岛一起游玩。你可以在岛上漫步，欣赏海景，也可以带上自己的浮潜装备，在小岛四周浮潜，更可以参观岛上的养殖中心，看亚达伯拉象龟。->全年 全天开放->在岛上需听从向导要求保护岛上动物和生态环境，做好防晒措施。->在岛上需听从向导要求保护岛上动物和生态环境，做好防晒措施。
